distribution,branch,q,density,acceptance,effective_density
raw_beta_recoil_complex,raw,0.0,0.1873451747752984,1.0,0.1873451747752984
raw_beta_recoil_complex,raw,0.0025,0.307985676531531,1.0,0.307985676531531
raw_beta_recoil_complex,raw,0.005,0.3232616977818698,1.0,0.3232616977818698
raw_beta_recoil_complex,raw,0.0075,0.33256013070634705,1.0,0.33256013070634705
raw_beta_recoil_complex,raw,0.01,0.33932901223754475,1.0,0.33932901223754475
raw_beta_recoil_complex,raw,0.0125,0.34468179069385674,1.0,0.34468179069385674
raw_beta_recoil_complex,raw,0.015,0.34912431850151865,1.0,0.34912431850151865
raw_beta_recoil_complex,raw,0.0175,0.35293051602831776,1.0,0.35293051602831776
raw_beta_recoil_complex,raw,0.02,0.35626589546324405,1.0,0.35626589546324405
raw_beta_recoil_complex,raw,0.0225,0.35923832012459284,1.0,0.35923832012459284
raw_beta_recoil_complex,raw,0.025,0.361922097970451,1.0,0.361922097970451
raw_beta_recoil_complex,raw,0.0275,0.3643706486473519,1.0,0.3643706486473519
raw_beta_recoil_complex,raw,0.03,0.36662369419694474,1.0,0.36662369419694474
raw_beta_recoil_complex,raw,0.0325,0.3687115930873328,1.0,0.3687115930873328
raw_beta_recoil_complex,raw,0.035,0.3706580814431456,1.0,0.3706580814431456
raw_beta_recoil_complex,raw,0.0375,0.37248207699941976,1.0,0.37248207699941976
raw_beta_recoil_complex,raw,0.04,0.37419890638077513,1.0,0.37419890638077513
raw_beta_recoil_complex,raw,0.0425,0.37582116400675314,1.0,0.37582116400675314
raw_beta_recoil_complex,raw,0.045,0.37735932802116867,1.0,0.37735932802116867
raw_beta_recoil_complex,raw,0.0475,0.37882221145492884,1.0,0.37882221145492884
raw_beta_recoil_complex,raw,0.05,0.38021729892096073,1.0,0.38021729892096073
raw_beta_recoil_complex,raw,0.0525,0.381551002070966,1.0,0.381551002070966
raw_beta_recoil_complex,raw,0.055,0.3828288562947314,1.0,0.3828288562947314
raw_beta_recoil_complex,raw,0.0575,0.3840556741956841,1.0,0.3840556741956841
raw_beta_recoil_complex,raw,0.06,0.3852356667814,1.0,0.3852356667814
raw_beta_recoil_complex,raw,0.0625,0.3863725402046851,1.0,0.3863725402046851
raw_beta_recoil_complex,raw,0.065,0.3874695737555761,1.0,0.3874695737555761
raw_beta_recoil_complex,raw,0.0675,0.3885296833100614,1.0,0.3885296833100614
raw_beta_recoil_complex,raw,0.07,0.3895554733788627,1.0,0.3895554733788627
raw_beta_recoil_complex,raw,0.0725,0.39054928013351736,1.0,0.39054928013351736
raw_beta_recoil_complex,raw,0.075,0.39151320722730953,1.0,0.39151320722730953
raw_beta_recoil_complex,raw,0.0775,0.3924491558147564,1.0,0.3924491558147564
raw_beta_recoil_complex,raw,0.08,0.39335884986391834,1.0,0.39335884986391834
raw_beta_recoil_complex,raw,0.0825,0.39424385762201275,1.0,0.39424385762201275
raw_beta_recoil_complex,raw,0.085,0.39510560991648036,1.0,0.39510560991648036
raw_beta_recoil_complex,raw,0.08750000000000001,0.3959454158363844,1.0,0.3959454158363844
raw_beta_recoil_complex,raw,0.09,0.3967644762324678,1.0,0.3967644762324678
