branch,model,n,n_params,rmse_visibility,mae_visibility,aicc,bic,amp,floor,recoil_alpha,recoil_beta,acceptance_center,acceptance_width,recoil_mean_q,recoil_std_q,parameters_json
raw,uniform_recoil,12,2,0.02846783471905286,0.022612630196483855,-80.08219711656173,-80.44571715031906,0.9665942825024858,0.044,,,,,1.0,0.5773511712987166,"{""amp"": 0.9665942825024858, ""floor"": 0.044, ""recoil_alpha"": NaN, ""recoil_beta"": NaN, ""acceptance_center"": NaN, ""acceptance_width"": NaN, ""recoil_mean_q"": 1.0, ""recoil_std_q"": 0.5773511712987166}"
raw,beta_recoil,12,4,0.0284062071202202,0.022029597848037773,-71.75325661670769,-75.52791573184139,0.9777869504545229,0.036000000000000004,1.04,0.9700000000000001,,,1.0350496098530435,0.5760594173533469,"{""amp"": 0.9777869504545229, ""floor"": 0.036000000000000004, ""recoil_alpha"": 1.04, ""recoil_beta"": 0.9700000000000001, ""acceptance_center"": NaN, ""acceptance_width"": NaN, ""recoil_mean_q"": 1.0350496098530435, ""recoil_std_q"": 0.5760594173533469}"
case_I_forward,accepted_beta_recoil,12,4,0.013447767557079028,0.009750256989859292,-89.7003263080413,-93.474985423175,0.8258488107857163,0.162,1.04,0.9700000000000001,1.5,0.375,1.4427045144604296,0.3188413447005811,"{""amp"": 0.8258488107857163, ""floor"": 0.162, ""recoil_alpha"": 1.04, ""recoil_beta"": 0.9700000000000001, ""acceptance_center"": 1.5, ""acceptance_width"": 0.375, ""recoil_mean_q"": 1.4427045144604296, ""recoil_std_q"": 0.3188413447005811}"
case_III_backward,accepted_beta_recoil,12,4,0.039896466304207526,0.03058782701845458,-63.60093483321781,-67.37559394835152,0.9262227588228179,0.0,1.04,0.9700000000000001,1.95,0.885,1.3417224005087585,0.47353233137498824,"{""amp"": 0.9262227588228179, ""floor"": 0.0, ""recoil_alpha"": 1.04, ""recoil_beta"": 0.9700000000000001, ""acceptance_center"": 1.95, ""acceptance_width"": 0.885, ""recoil_mean_q"": 1.3417224005087585, ""recoil_std_q"": 0.47353233137498824}"
