study_id,source_title,source_url,doi,source_file,source_file_sha256,source_figure,source_panel,setup,theta_pi,purity,observable,alpha_deg,value,extraction_method,extracted_by,extraction_date,point_id,pixel_x,pixel_y,pixel_count,component_width,component_height,notes
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,-67.98919911060509,0.598057708261907,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_11,615.7216288384512,527.6161548731642,1498,62.0,43.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,-65.99185387505105,0.6456620937824478,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_12,650.54201411161,473.29955099422705,1559,63.0,42.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,-64.0504264165832,0.6844171547282853,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_13,684.3875661375662,429.0800264550264,1512,63.0,40.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,-22.28219444035888,0.6566801051709027,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_14,1412.547076923077,460.728,1625,62.0,41.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,-20.319945741558612,0.6135486522237508,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_15,1446.7556125721617,509.9409878127004,1559,63.0,41.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,-18.328065187966132,0.5683963452103922,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_16,1481.4807302231238,561.4597701149426,1479,62.0,41.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,-16.333642879485126,0.5241256539011476,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_17,1516.2501591343093,611.9726288987906,1571,62.0,40.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,-14.363407372067826,0.4755232909586676,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_18,1550.5979314802844,667.4279250161603,1547,62.0,41.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,-12.375499189195736,0.4239785220603734,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_19,1585.2537974683544,726.2405063291139,1580,63.0,41.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,-10.354432537388647,0.3695084777621516,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_20,1620.4877260981912,788.390826873385,1548,62.0,41.0,connected colored marker component
