study_id,source_title,source_url,doi,source_file,source_file_sha256,source_figure,source_panel,observable,branch,extraction_method,extracted_by,extraction_date,point_id,x_name,x_value,x_units,y_name,y_value,y_units,z_m,p_hbar_over_d,mean_abs_momentum_hbar_over_d,probability_density,pixel_x,pixel_y,pixel_count,notes
XIAO_2019_MOMENTUM_PROBABILITY,Observing momentum disturbance in double-slit which-way measurements,https://arxiv.org/abs/1805.02059,https://doi.org/10.1126/sciadv.aav9547,probability.pdf,50ae16805cacedbf059985849f61ff186117f7168d84db89893123661f4d6c03,Fig.3a,mean_absolute_momentum_vs_z,mean_abs_momentum_vs_z,eta_half_mean_abs,calibrated_curve_digitization_v1,Codex,2026-04-24,Fig.3a_eta_half_mean_abs_11,z_m,2.292216,m,mean_absolute_bohmian_momentum_disturbance,0.354779,hbar_over_d,2.292215568862275,,0.3547786720321932,,249.0,312.0,159,Rendered blue curve extraction from Fig. 3a; binned by x-pixel column.
XIAO_2019_MOMENTUM_PROBABILITY,Observing momentum disturbance in double-slit which-way measurements,https://arxiv.org/abs/1805.02059,https://doi.org/10.1126/sciadv.aav9547,probability.pdf,50ae16805cacedbf059985849f61ff186117f7168d84db89893123661f4d6c03,Fig.3a,mean_absolute_momentum_vs_z,mean_abs_momentum_vs_z,eta_half_mean_abs,calibrated_curve_digitization_v1,Codex,2026-04-24,Fig.3a_eta_half_mean_abs_12,z_m,2.383234,m,mean_absolute_bohmian_momentum_disturbance,0.380584,hbar_over_d,2.383233532934132,,0.3805835010060362,,257.0,293.0,81,Rendered blue curve extraction from Fig. 3a; binned by x-pixel column.
XIAO_2019_MOMENTUM_PROBABILITY,Observing momentum disturbance in double-slit which-way measurements,https://arxiv.org/abs/1805.02059,https://doi.org/10.1126/sciadv.aav9547,probability.pdf,50ae16805cacedbf059985849f61ff186117f7168d84db89893123661f4d6c03,Fig.3a,mean_absolute_momentum_vs_z,mean_abs_momentum_vs_z,eta_half_mean_abs,calibrated_curve_digitization_v1,Codex,2026-04-24,Fig.3a_eta_half_mean_abs_13,z_m,2.47994,m,mean_absolute_bohmian_momentum_disturbance,0.387374,hbar_over_d,2.479940119760479,,0.38737424547283705,,265.5,288.0,108,Rendered blue curve extraction from Fig. 3a; binned by x-pixel column.
XIAO_2019_MOMENTUM_PROBABILITY,Observing momentum disturbance in double-slit which-way measurements,https://arxiv.org/abs/1805.02059,https://doi.org/10.1126/sciadv.aav9547,probability.pdf,50ae16805cacedbf059985849f61ff186117f7168d84db89893123661f4d6c03,Fig.3a,mean_absolute_momentum_vs_z,mean_abs_momentum_vs_z,eta_half_mean_abs,calibrated_curve_digitization_v1,Codex,2026-04-24,Fig.3a_eta_half_mean_abs_14,z_m,2.576647,m,mean_absolute_bohmian_momentum_disturbance,0.417254,hbar_over_d,2.5766467065868266,,0.4172535211267606,,274.0,266.0,134,Rendered blue curve extraction from Fig. 3a; binned by x-pixel column.
XIAO_2019_MOMENTUM_PROBABILITY,Observing momentum disturbance in double-slit which-way measurements,https://arxiv.org/abs/1805.02059,https://doi.org/10.1126/sciadv.aav9547,probability.pdf,50ae16805cacedbf059985849f61ff186117f7168d84db89893123661f4d6c03,Fig.3a,mean_absolute_momentum_vs_z,mean_abs_momentum_vs_z,eta_half_mean_abs,calibrated_curve_digitization_v1,Codex,2026-04-24,Fig.3a_eta_half_mean_abs_15,z_m,2.667665,m,mean_absolute_bohmian_momentum_disturbance,0.430835,hbar_over_d,2.6676646706586826,,0.43083501006036223,,282.0,256.0,89,Rendered blue curve extraction from Fig. 3a; binned by x-pixel column.
XIAO_2019_MOMENTUM_PROBABILITY,Observing momentum disturbance in double-slit which-way measurements,https://arxiv.org/abs/1805.02059,https://doi.org/10.1126/sciadv.aav9547,probability.pdf,50ae16805cacedbf059985849f61ff186117f7168d84db89893123661f4d6c03,Fig.3a,mean_absolute_momentum_vs_z,mean_abs_momentum_vs_z,eta_half_mean_abs,calibrated_curve_digitization_v1,Codex,2026-04-24,Fig.3a_eta_half_mean_abs_16,z_m,2.758683,m,mean_absolute_bohmian_momentum_disturbance,0.449849,hbar_over_d,2.7586826347305387,,0.44984909456740446,,290.0,242.0,108,Rendered blue curve extraction from Fig. 3a; binned by x-pixel column.
XIAO_2019_MOMENTUM_PROBABILITY,Observing momentum disturbance in double-slit which-way measurements,https://arxiv.org/abs/1805.02059,https://doi.org/10.1126/sciadv.aav9547,probability.pdf,50ae16805cacedbf059985849f61ff186117f7168d84db89893123661f4d6c03,Fig.3a,mean_absolute_momentum_vs_z,mean_abs_momentum_vs_z,eta_half_mean_abs,calibrated_curve_digitization_v1,Codex,2026-04-24,Fig.3a_eta_half_mean_abs_17,z_m,2.861078,m,mean_absolute_bohmian_momentum_disturbance,0.483803,hbar_over_d,2.861077844311377,,0.4838028169014085,,299.0,217.0,144,Rendered blue curve extraction from Fig. 3a; binned by x-pixel column.
XIAO_2019_MOMENTUM_PROBABILITY,Observing momentum disturbance in double-slit which-way measurements,https://arxiv.org/abs/1805.02059,https://doi.org/10.1126/sciadv.aav9547,probability.pdf,50ae16805cacedbf059985849f61ff186117f7168d84db89893123661f4d6c03,Fig.3a,mean_absolute_momentum_vs_z,mean_abs_momentum_vs_z,eta_half_mean_abs,calibrated_curve_digitization_v1,Codex,2026-04-24,Fig.3a_eta_half_mean_abs_18,z_m,2.952096,m,mean_absolute_bohmian_momentum_disturbance,0.506891,hbar_over_d,2.9520958083832336,,0.5068913480885312,,307.0,200.0,171,Rendered blue curve extraction from Fig. 3a; binned by x-pixel column.
XIAO_2019_MOMENTUM_PROBABILITY,Observing momentum disturbance in double-slit which-way measurements,https://arxiv.org/abs/1805.02059,https://doi.org/10.1126/sciadv.aav9547,probability.pdf,50ae16805cacedbf059985849f61ff186117f7168d84db89893123661f4d6c03,Fig.3a,mean_absolute_momentum_vs_z,mean_abs_momentum_vs_z,eta_half_mean_abs,calibrated_curve_digitization_v1,Codex,2026-04-24,Fig.3a_eta_half_mean_abs_19,z_m,3.043114,m,mean_absolute_bohmian_momentum_disturbance,0.524547,hbar_over_d,3.04311377245509,,0.5245472837022133,,315.0,187.0,104,Rendered blue curve extraction from Fig. 3a; binned by x-pixel column.
XIAO_2019_MOMENTUM_PROBABILITY,Observing momentum disturbance in double-slit which-way measurements,https://arxiv.org/abs/1805.02059,https://doi.org/10.1126/sciadv.aav9547,probability.pdf,50ae16805cacedbf059985849f61ff186117f7168d84db89893123661f4d6c03,Fig.3a,mean_absolute_momentum_vs_z,mean_abs_momentum_vs_z,eta_half_mean_abs,calibrated_curve_digitization_v1,Codex,2026-04-24,Fig.3a_eta_half_mean_abs_20,z_m,3.134132,m,mean_absolute_bohmian_momentum_disturbance,0.538129,hbar_over_d,3.134131736526946,,0.5381287726358149,,323.0,177.0,133,Rendered blue curve extraction from Fig. 3a; binned by x-pixel column.
