study_id,panel,source_file,source_sha256,point_index,ps_x,ps_y,intensity_arb_units,marker_width_ps,marker_height_ps,source_url,doi,extraction_method
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,15,317.94,301.68,26.216883926922502,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,16,310.2,304.86,27.565395859685072,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,17,300.96,307.98,29.17524731430085,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,18,302.22,311.16,28.955722115944145,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,19,294.42,314.22,30.314687629580845,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,20,301.02,317.4,29.16479373342672,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,21,302.94,320.52,28.830279145454607,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,22,305.1,323.7,28.45395023398598,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,23,312.42,326.76,27.178613367342315,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,24,310.86,330.0,27.450406470069655,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,25,312.96,333.06,27.084531139475164,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,26,325.32,336.24,24.931093479404705,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,27,347.1,339.42,21.136443622096078,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,28,364.32,342.54,18.136265911221223,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,29,379.92,345.72,15.418334883947827,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,30,409.02,348.72,10.348348159995542,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,31,431.76,351.9,6.3864410087008645,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,32,439.68,354.96,5.006568333315909,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,33,452.58,358.14,2.7590484453783,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,34,441.24,361.26,4.7347752305885695,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,35,414.84,364.44,9.334350815205084,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,36,376.92,367.62,15.941013927654248,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,37,359.88,370.68,18.909830895906726,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,38,332.04,373.86,23.760292421502314,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,39,319.68,376.98,25.913730081572773,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
MIR_2007_FIG4_ERASER_PHASE_CONTROL,plus_45,Figure4a.ps,7cb540fbddd8e0db232c34237622064f0f7a35bb80b0267548c2d69b2cf54c33,40,300.42,380.16,29.269329542168,6.0,6.0,https://arxiv.org/abs/0706.3966,https://doi.org/10.1088/1367-2630/9/8/287,postscript_diamond_marker_digitization_v1
