study_id,figure,series_type,branch,marker,d_over_lambda,point_index,nbar,visibility,pixel_x,pixel_y,extraction_method,source_file
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,19,2.877511014416965,0.7742633344214871,229.3198,531.0,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,20,3.0302006854036416,0.7642981433898616,232.4399,530.04,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,21,3.182895250133179,0.7544622278558211,235.5601,529.0801,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,22,3.3355849211198563,0.7423418903474315,238.6802,527.8799,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,23,3.48825012339223,0.7327875456959215,241.7998,526.9199,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,24,3.629209492742579,0.7233571467525273,244.6802,525.96,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,25,3.7818746950149533,0.7140471460963984,247.7998,525.0,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,26,3.9345643660016303,0.7071414568845809,250.9199,524.2798,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,27,4.0872540369883055,0.6980401609934328,254.04,523.3198,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,28,4.239948601717842,0.6912939425461845,257.1602,522.6001,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,29,4.392613803990218,0.6823966128003229,260.2798,521.6401,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,30,4.545303474976894,0.6736101606913415,263.3999,520.6797,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
