study_id,source_title,source_url,doi,source_file,source_file_sha256,source_figure,source_panel,series_name,extraction_method,extracted_by,extraction_date,point_id,x_name,x_value,x_units,visibility_V,visibility_loss,momentum_abs_hbar_over_d,published_bound_2_over_pi_loss,above_bound_margin,visibility_se,momentum_se,estimated_extraction_uncertainty_visibility,estimated_extraction_uncertainty_momentum,pixel_x,pixel_y,pixel_x_min,pixel_x_max,pixel_y_min,pixel_y_max,axis_left_px,axis_right_px,axis_top_px,axis_bottom_px,notes
XIAO_2019_MOMENTUM,Observing momentum disturbance in double-slit which-way measurements,https://arxiv.org/abs/1805.02059,https://doi.org/10.1126/sciadv.aav9547,visibility.pdf,d2d51429e956de450ad66029e16ebdbdd8f162b0cd39a458f8ac4bf35f028213,Fig.4,visibility_momentum,blue_experimental_points,calibrated_component_digitization_v1,Codex,2026-04-24,xiao_fig4_blue_1,visibility_V,0.060146,dimensionless,0.060146,0.939854,0.688772,0.59833,0.090443,,,0.006,0.006,221.455,52.839,213,230,44,62,174.0,963.0,5.0,591.0,Fast scout component centers from Fig. 4; error bars are not separately digitized.
XIAO_2019_MOMENTUM,Observing momentum disturbance in double-slit which-way measurements,https://arxiv.org/abs/1805.02059,https://doi.org/10.1126/sciadv.aav9547,visibility.pdf,d2d51429e956de450ad66029e16ebdbdd8f162b0cd39a458f8ac4bf35f028213,Fig.4,visibility_momentum,blue_experimental_points,calibrated_component_digitization_v1,Codex,2026-04-24,xiao_fig4_blue_2,visibility_V,0.233892,dimensionless,0.233892,0.766108,0.565262,0.48772,0.077542,,,0.006,0.006,358.541,149.342,350,367,141,158,174.0,963.0,5.0,591.0,Fast scout component centers from Fig. 4; error bars are not separately digitized.
XIAO_2019_MOMENTUM,Observing momentum disturbance in double-slit which-way measurements,https://arxiv.org/abs/1805.02059,https://doi.org/10.1126/sciadv.aav9547,visibility.pdf,d2d51429e956de450ad66029e16ebdbdd8f162b0cd39a458f8ac4bf35f028213,Fig.4,visibility_momentum,blue_experimental_points,calibrated_component_digitization_v1,Codex,2026-04-24,xiao_fig4_blue_3,visibility_V,0.418044,dimensionless,0.418044,0.581956,0.442239,0.370485,0.071754,,,0.006,0.006,503.836,245.464,496,512,237,254,174.0,963.0,5.0,591.0,Fast scout component centers from Fig. 4; error bars are not separately digitized.
XIAO_2019_MOMENTUM,Observing momentum disturbance in double-slit which-way measurements,https://arxiv.org/abs/1805.02059,https://doi.org/10.1126/sciadv.aav9547,visibility.pdf,d2d51429e956de450ad66029e16ebdbdd8f162b0cd39a458f8ac4bf35f028213,Fig.4,visibility_momentum,blue_experimental_points,calibrated_component_digitization_v1,Codex,2026-04-24,xiao_fig4_blue_4,visibility_V,0.60638,dimensionless,0.60638,0.39362,0.318964,0.250586,0.068378,,,0.006,0.006,652.434,341.783,646,659,334,350,174.0,963.0,5.0,591.0,Fast scout component centers from Fig. 4; error bars are not separately digitized.
XIAO_2019_MOMENTUM,Observing momentum disturbance in double-slit which-way measurements,https://arxiv.org/abs/1805.02059,https://doi.org/10.1126/sciadv.aav9547,visibility.pdf,d2d51429e956de450ad66029e16ebdbdd8f162b0cd39a458f8ac4bf35f028213,Fig.4,visibility_momentum,blue_experimental_points,calibrated_component_digitization_v1,Codex,2026-04-24,xiao_fig4_blue_5,visibility_V,0.780583,dimensionless,0.780583,0.219417,0.195435,0.139685,0.05575,,,0.006,0.006,789.88,438.3,784,795,432,445,174.0,963.0,5.0,591.0,Fast scout component centers from Fig. 4; error bars are not separately digitized.
XIAO_2019_MOMENTUM,Observing momentum disturbance in double-slit which-way measurements,https://arxiv.org/abs/1805.02059,https://doi.org/10.1126/sciadv.aav9547,visibility.pdf,d2d51429e956de450ad66029e16ebdbdd8f162b0cd39a458f8ac4bf35f028213,Fig.4,visibility_momentum,blue_experimental_points,calibrated_component_digitization_v1,Codex,2026-04-24,xiao_fig4_blue_6,visibility_V,0.950557,dimensionless,0.950557,0.049443,0.072653,0.031476,0.041176,,,0.006,0.006,923.989,534.234,918,930,529,540,174.0,963.0,5.0,591.0,Fast scout component centers from Fig. 4; error bars are not separately digitized.
