model,formula,n_params,rmse_momentum,mae_momentum,r2_momentum,aicc,bic,parameters_json,delta_aicc,akaike_weight
linear_bandwidth,b0 + b1 * (1 - V),2,0.0033791199380243174,0.002721461200455362,0.9997422333899169,-60.28167972106991,-64.6981607826138,"[0.042925293821979425, 0.6866101580424487]",0.0,0.9998753438468937
scaled_loss,a * (1 - V),1,0.02295578713778255,0.02019354113840097,0.988103921414645,-42.29022253676343,-43.498463067535376,[0.7494794374106895],17.991457184306476,0.00012392261545574566
published_bound,2/pi * (1 - V),0,0.06930657306922454,0.06750721614103879,0.8915652963263675,-32.03058633360537,-32.03058633360537,[],28.251093387464536,7.333290276618181e-07
constant,mean momentum only,1,0.21047003669360054,0.18487016666666667,0.0,-15.700943753877993,-16.90918428464994,[0.3805541666666666],44.58073596719191,2.0862293179113929e-10
