branch,baseline_method,edge_fraction,n_points,p_min,p_max,density_baseline,raw_density_area,baseline_subtracted_area,raw_mean_abs_momentum_hbar_over_d,mean_abs_momentum_hbar_over_d,peak_p_hbar_over_d,peak_density_minus_baseline
phi_0_far,edge_median,0.1,101,-2.99593969796269,2.983791169243987,0.20838565654761884,2.3287263785521723,1.082636235811247,0.8283032870310129,0.06099162170662837,-0.01308751810260178,5.448085521825399
phi_pi_far,edge_median,0.1,234,-2.9959336680320323,2.984312831308296,0.24641718554188402,2.2753371560686757,0.8559202273086126,1.4578122701222518,1.4112439096494076,1.7626015083762896,0.9821257115811299
