branch,nbar_independent,nbar_se,sigma_n_independent,sigma_n_se,sigma_k_over_k0,raw_kappa_k0,detector_kappa_d_k0,detector_kappa_d_se_k0,predicted_kappa_prime_k0,reported_calculated_kappa_prime_k0,reported_calculated_kappa_prime_se_k0,predicted_minus_reported_k0,abs_predicted_minus_reported_k0,within_reported_se,within_two_reported_se,mc_predicted_kappa_prime_median_k0,mc_predicted_kappa_prime_p025_k0,mc_predicted_kappa_prime_p975_k0,mc_predicted_kappa_prime_sd_k0,p_reported_within_public_uncertainty,inferred_detector_kappa_d_from_reported_k0
bullet_lower_intensity,4.8,0.2,1.8,0.1,0.4,2.001999000998752,3.3,0.1,1.7116454554383729,1.8,0.1,-0.08835454456162717,0.08835454456162717,True,True,1.7153607390777923,1.5872610702758676,1.8175142847082821,0.057629437303337874,0.604,4.11202504856184
circle_high_intensity,8.1,0.3,3.5,0.1,0.4,3.680489097932502,3.3,0.1,2.456995818032282,2.5,0.1,-0.04300418196771805,0.04300418196771805,True,True,2.4605955888547513,2.3622992752462753,2.55081480897924,0.04871980936871376,0.894,3.4064587293201427
