model,n_params,rmse_target,mae_visibility,rmse_visibility,cv_rmse_target,cv_rmse_visibility,r2_target,aicc,bic,parameter_labels_json,parameters_json,delta_aicc,akaike_weight
product,1,0.005250729315816437,0.0014355085674327055,0.0018116040899908523,0.005309755964876508,0.0018228517354060834,0.9991275457426396,-2265.717051733862,-2262.360464914963,"[""LGT""]",[1.3539855558409364],0.0,0.3485755044898521
full_second_order,7,0.005105440636193579,0.001416337213718147,0.001774098478154574,0.005329119760218932,0.0018507818610579672,0.9991751597079943,-2265.3192975718034,-2242.2308102564757,"[""L"", ""G"", ""T"", ""LG"", ""LT"", ""GT"", ""LGT""]","[0.005721022469984385, 0.002406545443692839, 0.0010647531082746125, -0.009458895724844688, -0.0046952858304705756, -0.0066634087898056514, 1.3633696443714636]",0.39775416205839065,0.2857101345604984
product_plus_background,2,0.005231047211783179,0.001431155818297924,0.0018019916534850364,0.0053026236942623145,0.0018225435902638409,0.9991340741887728,-2265.3017789280434,-2258.6075601408443,"[""background"", ""LGT""]","[0.0010258795527482254, 1.3482444912186577]",0.41527280581840387,0.28321843625268117
pairwise_plus_product,4,0.005210909050290812,0.001425507687175112,0.0017848623130685406,0.005366803070183816,0.0018288040132858438,0.9991407285304218,-2262.8348397981335,-2249.5232996271125,"[""LG"", ""LT"", ""GT"", ""LGT""]","[0.002443946614586564, 0.007446244425396144, -0.0007882058963959357, 1.3388695383974492]",2.8822119357282645,0.08249592469696841
pairwise,3,0.08207640518676117,0.014197943217739565,0.02006028150625413,0.0839987873291953,0.02072660815515963,0.7868231407857362,-1073.9320206826171,-1063.9193930067345,"[""LG"", ""LT"", ""GT""]","[0.16529771734830603, 0.3251981187922797, 0.15888839329867757]",1191.7850310512447,5.616497428317972e-260
additive_plus_background,4,0.10618543870283689,0.016030875960920295,0.026078657643637544,0.10636938349608896,0.026260032099041476,0.6431930237158439,-960.5999285119292,-947.2883883409082,"[""background"", ""L"", ""G"", ""T""]","[-0.15858396973221964, 0.2157320115196036, 0.15088670189254774, 0.22617093372767655]",1305.1171232219326,1.379476918478403e-284
additive,3,0.139056094580485,0.024826202086765684,0.03626336943733815,0.13989148312566824,0.036583759514166786,0.38809576113257205,-846.1700319153234,-836.1574042394408,"[""L"", ""G"", ""T""]","[0.12000199087797737, 0.03992407608266604, 0.09879063239962758]",1419.5470198185385,1.95694270157545e-309
constant,1,0.1777658349860925,0.03289970416986081,0.049189947965373446,0.1780971293261141,0.04932365102025047,0.0,-744.1697799449316,-740.8131931260325,"[""background""]",[0.08345709827257702],1521.5472717889302,0.0
