time,visibility_trajectory_mean,visibility_exact,integrated_kappa
0.0,0.36235775447665564,0.3623577544766736,0.0
0.032,0.36235775447665564,0.3623577544766736,0.0
0.064,0.36235775447665564,0.3623577544766736,0.0
0.096,0.36235775447665564,0.3623577544766736,0.0
0.128,0.36235775447665564,0.3623577544766736,0.0
0.16,0.36235775447665564,0.3623577544766736,0.0
0.192,0.36235775447665564,0.3623577544766736,0.0
0.224,0.36235775447665564,0.3623577544766736,0.0
0.256,0.36235775447665564,0.3622406396543871,0.00016162721896007597
0.28800000000000003,0.36119820966233035,0.3613500289122472,0.0013924490503684631
0.32,0.36003866484800506,0.35968132721859714,0.0037067792923450083
0.352,0.35829934762651716,0.3573419839443366,0.006969367186209437
0.384,0.35511059938712264,0.35442909295352193,0.011061844876584459
0.41600000000000004,0.35192185114772817,0.3510296721357736,0.015880619974611532
0.448,0.34670389948326447,0.3472211627225135,0.021335031185505733
0.48,0.3438050374474513,0.34307206512935917,0.02734573416300143
0.512,0.33829719957940624,0.3386426488268211,0.033843288852230015
0.544,0.33423879272926776,0.3339856905858787,0.04076692316989761
0.5760000000000001,0.3304702720827106,0.3291472087893116,0.04806345101016276
0.608,0.32467254801108425,0.32416717184595834,0.055686325312249235
0.64,0.31945459634662055,0.31908016660370164,0.0635948093304858
0.672,0.31046812403559965,0.31391601850272627,0.07175325135195633
0.704,0.30582994477829856,0.30870035946156754,0.08013044994873851
0.736,0.3003221069102535,0.30345514249918054,0.08869909846359862
0.768,0.29075586219207006,0.2981991041588811,0.09743529883869352
0.8,0.2832188208989558,0.29294817715002786,0.10631813613142191
0.8320000000000001,0.27771098303091074,0.28771585644700837,0.11532930614204984
0.864,0.2742323485879349,0.28251352252747663,0.12445278952334371
0.896,0.2695941693306338,0.2773507256040751,0.1336745665700162
0.928,0.2678548521091459,0.2722354346901911,0.14298236761005895
0.96,0.26060769701961295,0.26717425520336174,0.1523654545538969
0.992,0.2565492901694745,0.26217261859583463,0.1618144297120365
1.0,0.2556796315587305,0.26093205131057,0.16418598110965976
