theta_used,eraser_time,eta,kappa_eff,exposure,Lambda,Gamma,Theta,marker_visibility,visibility_unconditioned,visibility_eraser_plus,visibility_eraser_minus,prob_eraser_plus,prob_eraser_minus
0.18,0.0,1.0,0.13922269683915214,0.0,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.18,0.008992805755395683,1.0,0.13922269683915214,0.0,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.18,0.017985611510791366,1.0,0.13922269683915214,0.0,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.18,0.02697841726618705,1.0,0.13922269683915214,0.0,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.18,0.03597122302158273,1.0,0.13922269683915214,0.0,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.18,0.044964028776978415,1.0,0.13922269683915214,0.0,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.18,0.0539568345323741,1.0,0.13922269683915214,0.0,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.18,0.06294964028776978,1.0,0.13922269683915214,0.0,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.18,0.07194244604316546,1.0,0.13922269683915214,0.0,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.18,0.08093525179856115,1.0,0.13922269683915214,0.0,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.18,0.08992805755395683,1.0,0.13922269683915214,0.0,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.18,0.09892086330935251,1.0,0.13922269683915214,0.0,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.18,0.1079136690647482,1.0,0.13922269683915214,0.0,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.18,0.11690647482014388,1.0,0.13922269683915214,0.0,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.18,0.12589928057553956,1.0,0.13922269683915214,0.0,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.18,0.13489208633093525,1.0,0.13922269683915214,0.0,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.18,0.14388489208633093,1.0,0.13922269683915214,0.0,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.18,0.1528776978417266,1.0,0.13922269683915214,0.0,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.18,0.1618705035971223,1.0,0.13922269683915214,0.0,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.18,0.17086330935251798,1.0,0.13922269683915214,0.0,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.18,0.17985611510791366,1.0,0.13922269683915214,0.0,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.18,0.18884892086330934,1.0,0.13922269683915214,0.0,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.18,0.19784172661870503,1.0,0.13922269683915214,0.0,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.18,0.2068345323741007,1.0,0.13922269683915214,0.0,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.18,0.2158273381294964,1.0,0.13922269683915214,0.0,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.18,0.22482014388489208,1.0,0.13922269683915214,0.0,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.18,0.23381294964028776,1.0,0.13922269683915214,0.0,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3623577544766737,0.9676057961502214,0.8601970486975241,0.6688657951377875,0.3311342048622121
0.18,0.24280575539568344,0.9999954510969646,0.13922269683915214,1.6336823969396227e-05,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.36235610614638447,0.9676013946052783,0.8601931357445582,0.6688657951377875,0.3311342048622121
0.18,0.2517985611510791,0.9999205576651161,0.13922269683915214,0.0002853180278684607,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.36232896793059477,0.967528927286528,0.8601287126355153,0.6688657951377875,0.3311342048622121
0.18,0.2607913669064748,0.9997563529926213,0.13922269683915214,0.0008751327896427998,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.362269467094195,0.9673700418936672,0.859987464260853,0.6688657951377875,0.3311342048622121
0.18,0.2697841726618705,0.999506164886285,0.13922269683915214,0.0017739819068610142,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.36217880949378617,0.9671279584318482,0.8597722531901633,0.6688657951377875,0.3311342048622121
0.18,0.2787769784172662,0.9991732198978062,0.13922269683915214,0.0029705001129273143,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3620581642953967,0.9668057989311969,0.8594858548936951,0.6688657951377875,0.3311342048622121
0.18,0.28776978417266186,0.9987606452146874,0.13922269683915214,0.00445374011834946,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3619086646596679,0.9664065892764665,0.859130959368909,0.6688657951377875,0.3311342048622121
0.18,0.29676258992805754,0.998271470617281,0.13922269683915214,0.006213157238916439,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3617314084510047,0.9659332611006867,0.8587101728239221,0.6688657951377875,0.3311342048622121
0.18,0.3057553956834532,0.9977086304904553,0.13922269683915214,0.008238594589201204,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3615274589665188,0.9653886537316642,0.8582260194079383,0.6688657951377875,0.3311342048622121
0.18,0.3147482014388489,0.9970749658793204,0.13922269683915214,0.010520268820597464,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.3612978456809366,0.9647755161811147,0.857680942979576,0.6688657951377875,0.3311342048622121
0.18,0.3237410071942446,0.9963732265793547,0.13922269683915214,0.013048756383864782,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.36104356500397294,0.9640965091670815,0.8570773089047904,0.6688657951377875,0.3311342048622121
0.18,0.3327338129496403,0.9956060732521158,0.13922269683915214,0.015814980296891976,0.6188286139470075,0.9258345459315777,0.18,0.3623577544766736,0.36076558104697537,0.9633542071611092,0.856417405876801,0.6688657951377875,0.3311342048622121
