panel,model,n,beta,floor,amp,rmse_visibility,mae_visibility,aicc,bic,delta_aicc_panel
a,exp_power2,20,0.0495397489539749,0.010962035600850194,0.947284350224705,0.031156972805291935,0.027162857434694793,-131.2486885088673,-129.76149168820533,0.0
a,thermal_delta_T4,20,0.008783397813366898,-0.6562697730338551,1.5874812703113121,0.036253447303014275,0.02889242498252695,-125.18883216755182,-123.70163534688984,6.059856341315481
a,exp_power,20,0.12384937238493725,-0.5289236409414331,1.5937314268547826,0.05011015221852262,0.04221575295989965,-112.2412660931031,-110.75406927244113,19.007422415764196
a,thermal_temperature_excess,20,1.707796089146956e-05,-28.402334922029173,29.457697276661776,0.06495866101205276,0.05566599810164917,-101.8601678336137,-100.37297101295172,29.388520675253602
b,thermal_delta_T4,11,0.013543070899090754,-0.6186772542958234,1.6656939281445884,0.04120688214460775,0.029814497560877087,-60.73272844452876,-62.96761405470508,0.0
b,thermal_temperature_excess,11,2.0662224288444652e-05,-32.21685993074436,33.353352269703436,0.06956600402175848,0.045917061271620756,-49.211972707989084,-51.446858318165404,11.520755736539677
b,exp_power2,11,0.08,-0.025561547735031394,1.0187067696162135,0.07106657335047288,0.04786503380319163,-48.74246871708809,-50.97735432726441,11.990259727440673
b,exp_power,11,0.31464435146443515,-0.09482134350981694,1.2438546211608335,0.09961842406584019,0.07091084073521901,-41.31240789161704,-43.54729350179336,19.42032055291172
combined,thermal_delta_T4,31,0.01581011606406042,-0.2846461150209559,1.2672372550445,0.07671453145991937,0.06459513538544373,-152.30628718013634,-148.8932144555698,0.0
combined,exp_power2,31,0.06761506276150628,0.02826022944945918,0.9585525065555056,0.08023432698841816,0.0561366755885598,-149.5249490901132,-146.11187636554666,2.7813380900231266
combined,thermal_temperature_excess,31,1.707796089146956e-05,-31.437557176356123,32.53605827628435,0.0910593914983048,0.07133245011178922,-141.67819766557733,-138.26512494101078,10.628089514559008
combined,exp_power,31,0.20083682008368203,-0.22121164579175742,1.3276859803774268,0.09228584842028632,0.06724903514810306,-140.84870829980034,-137.4356355752338,11.457578880336001
