lane,model,n,V0_percent,decoherence_pressure_pv_1e_minus_6_mbar,rmse_visibility_percent,mae_visibility_percent,status,fig3_rmse_pressure_1e_minus_6_mbar,fig3_mae_pressure_1e_minus_6_mbar,fig3_theory_observed_corr,ch4_fig3_pressure_1e_minus_6_mbar,ch4_theory_pressure_1e_minus_6_mbar,fig2_pv_minus_fig3_ch4
methane_visibility,exponential_pressure,19,38.447234717328314,0.806914538905973,0.8881224682640035,0.7298930304628021,collisional record-load control,,,,,,
gas_species_pressure,theory_vs_experiment,9,,,,,no-adjustable-parameter guardrail,0.1847520861406802,0.15555555555555553,0.8884291636263053,0.81,0.78,-0.0030854610940270755
