sample_id,linear_rmse,published_bound_rmse,scaled_loss_rmse,linear_beats_bound,linear_beats_scaled_loss,linear_intercept,linear_slope,loss_momentum_pearson_r,all_points_above_bound,monotone,best_model
0,0.0012346356339094026,0.07256670009204035,0.02315610739668314,True,True,0.044145717876274096,0.6904975177057038,0.9999825896878624,True,True,linear_bandwidth
1,0.00935142730122824,0.07039148226930798,0.026837042446513724,True,True,0.047598670871939294,0.6790532226780367,0.9989967385051423,True,True,linear_bandwidth
2,0.002402446019787645,0.06900631460549442,0.019105178375795312,True,True,0.03591266383894801,0.6986371237229836,0.9999363224696237,True,True,linear_bandwidth
3,0.0032907413659350984,0.06607085495130496,0.018855325551585828,True,True,0.03549577485531925,0.6935208082477281,0.9998781996038009,True,True,linear_bandwidth
4,0.003336127403791215,0.06276803927666327,0.0187143710000148,True,True,0.03475545677914051,0.6888685299269064,0.9998769253890959,True,True,linear_bandwidth
5,0.005639227558286783,0.07016265638093672,0.028103644372324415,True,True,0.051758802906302206,0.6720865546674025,0.9996263552326298,True,True,linear_bandwidth
6,0.008168075558715971,0.06985952606742162,0.026433315741988754,True,True,0.04693242721775654,0.6799519716831227,0.9992474309143263,True,True,linear_bandwidth
7,0.008697423912912455,0.06571046987075654,0.0250766855338108,True,True,0.044468283104150796,0.6761648906307453,0.9991268428902359,True,True,linear_bandwidth
8,0.008962604956400702,0.0711096194148042,0.03122384718607462,True,True,0.05584735064720189,0.6655251575885669,0.9990570361328726,True,True,linear_bandwidth
9,0.01017417849549945,0.07186888189936395,0.022551481824310826,True,True,0.03807040397704494,0.698576369643935,0.9988730960085255,True,True,linear_bandwidth
10,0.0059529299943245,0.0699033664142648,0.01889096364986857,True,True,0.034110580831783185,0.7031590403765332,0.9996083537047752,True,True,linear_bandwidth
11,0.007732079442739653,0.0666922157343218,0.019327597858136158,True,True,0.033552327322514855,0.6975524122500917,0.9993451992815477,True,True,linear_bandwidth
12,0.003147531199780449,0.07083717060150012,0.026303034707354296,True,True,0.048900197388331165,0.6788433741763443,0.9998874198573651,True,True,linear_bandwidth
13,0.005834408728956381,0.07296683900362928,0.026006061385187056,True,True,0.0475393327562749,0.6850582761032064,0.9996170617667548,True,True,linear_bandwidth
14,0.00430874813119835,0.07035787762718917,0.022368499485312346,True,True,0.0413944676141607,0.6910879567978911,0.9997948381283125,True,True,linear_bandwidth
15,0.0052701575608259145,0.06774756729379731,0.026042212266880707,True,True,0.0477561339293595,0.6747184706633783,0.9996841606076031,True,True,linear_bandwidth
16,0.005037985301208909,0.06759022339106212,0.022040150015396776,True,True,0.040627152939631886,0.6872290754815311,0.9997145928071789,True,True,linear_bandwidth
17,0.005608937417565818,0.07131683421637895,0.02550435395226544,True,True,0.04742042009072244,0.6819674707784454,0.9996329930439651,True,True,linear_bandwidth
18,0.0040687016395208634,0.06748610057540824,0.025240850537851474,True,True,0.046691196557317634,0.6764367295745553,0.9998111955470317,True,True,linear_bandwidth
19,0.009094203221960716,0.07421657193225993,0.029020610816987133,True,True,0.0519516823424246,0.678375793187752,0.9990559473492792,True,True,linear_bandwidth
20,0.009828247483093947,0.07256932756425566,0.025052675908768342,True,True,0.0434438469332085,0.6905780382806429,0.9989306382676421,True,True,linear_bandwidth
21,0.004474946886515046,0.06588789261752888,0.022338810448051832,True,True,0.04128250659001087,0.6831534155409268,0.999773039456777,True,True,linear_bandwidth
22,0.006852802383800169,0.06831709002001256,0.023613427831574937,True,True,0.04256843229421551,0.6850165530152419,0.9994710880813225,True,True,linear_bandwidth
23,0.005110328267804154,0.0675073871250538,0.018660024152878298,True,True,0.03402324882823335,0.6993011634591358,0.9997087408306481,True,True,linear_bandwidth
24,0.009147687692615761,0.0644657886145861,0.01680016169591675,True,True,0.026928071725869137,0.7042542397780466,0.9990884336834449,True,True,linear_bandwidth
25,0.005695231646451958,0.07004186670102149,0.029706660674195858,True,True,0.05513692960587395,0.6652892900916039,0.9996108712270539,True,True,linear_bandwidth
26,0.00728901829557145,0.06934436533287937,0.021834787011682243,True,True,0.03862085479870441,0.6936688012509534,0.9994243738009612,True,True,linear_bandwidth
27,0.007484046848198405,0.0676759160520008,0.02502829384036026,True,True,0.04512638643423503,0.679165637451227,0.9993517238466586,True,True,linear_bandwidth
28,0.006345971042877032,0.06774732056969028,0.02235100912325151,True,True,0.040517648078261644,0.6875096857393845,0.9995492662417012,True,True,linear_bandwidth
29,0.003864859064500643,0.07080702071903705,0.0205306783539241,True,True,0.03779975865553958,0.6984828815354684,0.999839328191378,True,True,linear_bandwidth
30,0.01023254397952524,0.07441821449982008,0.02882729384532472,True,True,0.050595929348078175,0.6811332379711612,0.9988169741130634,True,True,linear_bandwidth
31,0.005829787772775287,0.07045041998772135,0.0287823149789469,True,True,0.05329670116677413,0.6693398120904788,0.9996009356420281,True,True,linear_bandwidth
32,0.00406750013649132,0.06668105093090897,0.021013019599108045,True,True,0.038771143815467125,0.6889212490538029,0.9998181500737717,True,True,linear_bandwidth
33,0.002383439949452233,0.06665374234180385,0.020917874513559732,True,True,0.03933246169825784,0.6878471075271875,0.9999368487669339,True,True,linear_bandwidth
34,0.003994962132384279,0.07208924120708542,0.02572776228259824,True,True,0.04798136414071773,0.6828389792694557,0.999816516269972,True,True,linear_bandwidth
