component,n_samples,rmse_median,rmse_p95,p_rmse_lt_005,p_ratio_lte_15,p_joint_stress_gate
d_axis_and_visibility,300,0.033908775075052175,0.04191966981810801,1.0,0.9966666666666667,0.9966666666666667
d_axis_only,300,0.024388102923648486,0.026026173344118077,1.0,1.0,1.0
full_uncertainty_recheck,300,0.03887571399226834,0.05660467973493716,0.85,0.7466666666666667,0.7133333333333334
independent_kappa_only,300,0.030017010923841014,0.04980801909266684,0.95,0.44666666666666666,0.44666666666666666
visibility_only,300,0.03401390011843401,0.04206191856324687,1.0,0.99,0.99
