component,sample_id,calculated_independent_kappa_rmse,refit_kappa_from_digitized_points_rmse,passes_absolute_rmse_lt_005,passes_refit_ratio_lte_15,passes_no_refit_stress_gate
d_axis_only,0,0.02475160894747165,0.02000392367720628,True,True,True
d_axis_only,1,0.025656861949099555,0.02184215573201428,True,True,True
d_axis_only,2,0.024572091431487607,0.02025770143851304,True,True,True
d_axis_only,3,0.02511095647604652,0.019429412444630704,True,True,True
d_axis_only,4,0.023462878405924356,0.019419444507584538,True,True,True
d_axis_only,5,0.023467300192849656,0.018292335742055438,True,True,True
d_axis_only,6,0.024777057815063064,0.02043922448927715,True,True,True
d_axis_only,7,0.024052227874752724,0.019741298079572995,True,True,True
d_axis_only,8,0.02505910407346769,0.01954439390654148,True,True,True
d_axis_only,9,0.02376051602092636,0.018891369937798778,True,True,True
d_axis_only,10,0.022983762027220245,0.01844681184988387,True,True,True
d_axis_only,11,0.024229843865950024,0.019392231528877417,True,True,True
d_axis_only,12,0.02603023539996307,0.02215010941303741,True,True,True
d_axis_only,13,0.022738113174517512,0.019212601490785523,True,True,True
d_axis_only,14,0.02509739355877762,0.01942016132064541,True,True,True
d_axis_only,15,0.024583436939511975,0.020047550368418963,True,True,True
d_axis_only,16,0.02328386361249342,0.01989740486326805,True,True,True
d_axis_only,17,0.02337150704707132,0.01882137736207339,True,True,True
d_axis_only,18,0.0241916072065524,0.02092540945107474,True,True,True
d_axis_only,19,0.02379532556078573,0.018698935260282313,True,True,True
d_axis_only,20,0.024498522445661825,0.020882199174830435,True,True,True
d_axis_only,21,0.02438771427755214,0.018770125524304695,True,True,True
d_axis_only,22,0.02488630580969851,0.019701671694216587,True,True,True
d_axis_only,23,0.02325859031183773,0.020337799306174062,True,True,True
d_axis_only,24,0.023482356582531626,0.02000164931171716,True,True,True
d_axis_only,25,0.02201834206797843,0.019018692314387353,True,True,True
d_axis_only,26,0.023877856575019243,0.02038978908317927,True,True,True
d_axis_only,27,0.02441381720583123,0.01992128395075117,True,True,True
d_axis_only,28,0.024021122990616046,0.019127055337542154,True,True,True
d_axis_only,29,0.024363965719957238,0.019308080049739523,True,True,True
d_axis_only,30,0.024077686189585633,0.019314653439951982,True,True,True
d_axis_only,31,0.024666195204547593,0.019912321566666846,True,True,True
d_axis_only,32,0.02433191684375106,0.019375805848894298,True,True,True
d_axis_only,33,0.024317950422670292,0.019034249448431784,True,True,True
d_axis_only,34,0.022788537605061505,0.01947930788481691,True,True,True
d_axis_only,35,0.026076686961181837,0.020626572311938332,True,True,True
d_axis_only,36,0.02344289601618122,0.01942204262808613,True,True,True
d_axis_only,37,0.02471098804056522,0.02011915636829064,True,True,True
d_axis_only,38,0.024104761914904446,0.01924122898128854,True,True,True
d_axis_only,39,0.02375389905321769,0.019311113444090536,True,True,True
d_axis_only,40,0.024021690300041212,0.020880342568920317,True,True,True
d_axis_only,41,0.024512556711609453,0.01916450606729998,True,True,True
d_axis_only,42,0.023710380445534755,0.019608863452957384,True,True,True
d_axis_only,43,0.024118899194323418,0.01943425051913257,True,True,True
d_axis_only,44,0.02456033591991152,0.018961750993902952,True,True,True
d_axis_only,45,0.023390223933688795,0.01938206823876059,True,True,True
d_axis_only,46,0.024118262616439713,0.019392923330283685,True,True,True
d_axis_only,47,0.023711802679863832,0.0189978376815032,True,True,True
d_axis_only,48,0.02493799321068353,0.020036671847679835,True,True,True
d_axis_only,49,0.024911251668542175,0.019211429456788474,True,True,True
d_axis_only,50,0.024475729872104966,0.019666512227386145,True,True,True
d_axis_only,51,0.02349630989568228,0.019173751191306137,True,True,True
d_axis_only,52,0.023664112614748246,0.01988622036351622,True,True,True
d_axis_only,53,0.025352699942646915,0.020743570520867845,True,True,True
d_axis_only,54,0.023118366615914154,0.018600112160828176,True,True,True
d_axis_only,55,0.025793719485051797,0.02054715088462848,True,True,True
d_axis_only,56,0.023151166785327464,0.017974909124890436,True,True,True
d_axis_only,57,0.02526685397180551,0.020679877445387025,True,True,True
d_axis_only,58,0.025520632845714698,0.020419066252731204,True,True,True
d_axis_only,59,0.022831963900651127,0.018520714016357707,True,True,True
d_axis_only,60,0.024326412101864616,0.020466287799239383,True,True,True
d_axis_only,61,0.02184564710744132,0.01852965630154567,True,True,True
d_axis_only,62,0.025411353456058865,0.020265342252842766,True,True,True
d_axis_only,63,0.025726298972253345,0.020188271416753698,True,True,True
d_axis_only,64,0.026050948690339266,0.020418140968275534,True,True,True
d_axis_only,65,0.024557457392022124,0.020484223673062085,True,True,True
