sample_id,calculated_independent_kappa_rmse,refit_kappa_from_digitized_points_rmse,rmse_ratio_to_refit,passes_absolute_rmse_lt_005,passes_refit_ratio_lte_15,passes_no_refit_stress_gate
0,0.02575865824468176,0.022906740382353644,1.1245012522394986,True,True,True
1,0.04664742487548067,0.038056768185137445,1.2257326909250845,True,True,True
2,0.043860246456510474,0.028850021212613618,1.5202847212235042,True,False,False
3,0.04012936211196758,0.029573403953475488,1.3569409248627111,True,True,True
4,0.06014852480517298,0.03558043685356163,1.6904942750626195,False,False,False
5,0.022990061939024156,0.018969240022410426,1.2119653666601031,True,True,True
6,0.04561867439501517,0.0325877302908269,1.3998727124563304,True,True,True
7,0.04655901682885805,0.03491492770311133,1.3334988754597679,True,True,True
8,0.04077386492642305,0.03570710826467476,1.141897703510224,True,True,True
9,0.04002431377522326,0.03519795695725585,1.1371203682028619,True,True,True
10,0.036013129821207635,0.02960441461980761,1.216478362558539,True,True,True
11,0.040398533602401955,0.04015614308948001,1.0060362000499357,True,True,True
12,0.0401475773336004,0.0316357738024241,1.2690562773755856,True,True,True
13,0.03841607069897517,0.02863018630009902,1.3418030290233323,True,True,True
14,0.03020069184814554,0.02732533872322314,1.1052266233200876,True,True,True
15,0.03416773488348261,0.028581591508091694,1.195445497631209,True,True,True
16,0.0310105538012475,0.02494054303184802,1.2433792544792763,True,True,True
17,0.03735059090898046,0.03279084183690713,1.1390555660251818,True,True,True
18,0.03937059655638405,0.030107350950480727,1.307673884067021,True,True,True
19,0.03899921770332553,0.022718849329966852,1.716601802182137,True,False,False
20,0.03443066032534407,0.028137676913688996,1.22364971461427,True,True,True
21,0.05050314976792829,0.030451152372150295,1.6584971613132429,False,False,False
22,0.033700661073208286,0.025624283349473555,1.31518453076662,True,True,True
23,0.03061785323350867,0.027686117463096974,1.1058919068128432,True,True,True
24,0.03592159026839637,0.02732277303826078,1.3147124641446328,True,True,True
25,0.041806587706366034,0.038959047808036995,1.0730905927773113,True,True,True
26,0.03720499012877623,0.028332868216018485,1.3131388550256884,True,True,True
27,0.05933501689620744,0.03188419854992869,1.8609536884953362,False,False,False
28,0.03527491132025478,0.028874219620170345,1.221674967645296,True,True,True
29,0.037079544487759776,0.02664507125177772,1.3916098830205186,True,True,True
30,0.030496964217526075,0.028958455254803686,1.0531281433759205,True,True,True
31,0.03378545505624661,0.026554623465740657,1.2723002869852318,True,True,True
32,0.028846565274334622,0.028438618895210085,1.0143448027707578,True,True,True
33,0.04513997595766724,0.03182812870093113,1.4182415932089238,True,True,True
34,0.0562042420384521,0.02629868649944541,2.1371501591776205,False,False,False
35,0.06959936659833382,0.03001038138325667,2.319176344662003,False,False,False
36,0.044280368007465466,0.03619727806058165,1.2233065683379711,True,True,True
37,0.03208458515458876,0.026239159745816677,1.2227748702853956,True,True,True
38,0.029155302030434142,0.02506713153820101,1.16308888338512,True,True,True
39,0.03898001826270054,0.0341905307514202,1.1400822802694104,True,True,True
40,0.03963537527308975,0.02689581306760001,1.4736633978482112,True,True,True
41,0.03746800981598909,0.027329451605433756,1.3709755452443673,True,True,True
42,0.03235525288507866,0.02559224871100988,1.2642598644002434,True,True,True
43,0.030422902803265515,0.02887245898567135,1.0536997495905565,True,True,True
44,0.0322304582196709,0.026568385599669897,1.213113160329597,True,True,True
45,0.05492727196624515,0.02851378250527545,1.926341128402829,False,False,False
46,0.04536761185391631,0.03639976994784673,1.2463708402256009,True,True,True
47,0.03302728176163454,0.027431934442146647,1.2039720287057538,True,True,True
48,0.03470764019726045,0.02952196149038304,1.1756549512662522,True,True,True
49,0.04039932200909641,0.02549756972324133,1.5844381424427272,True,False,False
50,0.04188105050394033,0.026336706052203385,1.5902159678179069,True,False,False
51,0.03356015896738901,0.024318018593131336,1.3800531831515308,True,True,True
52,0.03917385684569589,0.0315349421201032,1.2422365227911092,True,True,True
53,0.03830637339667848,0.029142305375480508,1.314459268171294,True,True,True
54,0.049510103594888735,0.020706438893179357,2.391048690231193,True,False,False
55,0.07216079188294239,0.03272275521717209,2.2052174825753728,False,False,False
56,0.03793090598599666,0.026645727220990605,1.4235267692793903,True,True,True
57,0.037875729771533265,0.03391104499488779,1.1169142613341219,True,True,True
58,0.05393149319091052,0.02436560366004822,2.213427335655996,False,False,False
59,0.041263988885260394,0.02982574566489945,1.3835023388475443,True,True,True
60,0.04834237343115366,0.031187043081821096,1.5500787716336082,True,False,False
61,0.029394053879718426,0.02162235891892342,1.3594286354202263,True,True,True
62,0.04827218624379459,0.02912145415787087,1.6576159274913032,True,False,False
63,0.04389003756809738,0.03169604741009535,1.3847164285259803,True,True,True
64,0.05877719221975863,0.037916422079189674,1.550177706562095,False,False,False
65,0.0538834622158054,0.02967114283412915,1.8160224739920061,False,False,False
66,0.040451201634146804,0.03752913430271278,1.077861303910301,True,True,True
67,0.029595960819995284,0.02113960869511535,1.4000240613173653,True,True,True
68,0.033158040481208385,0.030141867561500457,1.1000658938452912,True,True,True
69,0.05928625312393876,0.03278366043673184,1.808408589344483,False,False,False
70,0.03755015266477179,0.028516232381988096,1.3167992237463266,True,True,True
71,0.045459751633674876,0.03419636087646736,1.3293739587640905,True,True,True
72,0.04534580605329007,0.032042629380535405,1.4151711931866553,True,True,True
73,0.05241584621228152,0.04055800430540542,1.2923674897212765,False,True,False
74,0.0315127892366715,0.03107068130451544,1.0142291032444084,True,True,True
75,0.03209444204445215,0.028348909273207688,1.132122641303323,True,True,True
76,0.03529467834374268,0.030285852886900846,1.1653849893396346,True,True,True
77,0.0345143764220588,0.026359850133771717,1.309354045903306,True,True,True
78,0.03703295653256678,0.0308751351733467,1.1994427335992974,True,True,True
79,0.05311232089762195,0.03148796760521959,1.6867497313106294,False,False,False
80,0.052578550178617955,0.03574221030509248,1.4710492084796072,False,True,False
81,0.04399986290949805,0.0329491827137567,1.3353855630272597,True,True,True
82,0.02755298086445728,0.024870221691524697,1.107870336107491,True,True,True
83,0.0403865808760687,0.02985939912123343,1.352558392487853,True,True,True
84,0.043468227396124645,0.02819197380259924,1.5418653443880885,True,False,False
85,0.033521249551650506,0.03288807180392537,1.0192525044186251,True,True,True
86,0.03734175364609855,0.01861256648613066,2.0062656954871927,True,False,False
87,0.04070380893224711,0.031595763685876445,1.2882679253118363,True,True,True
88,0.03671017887166926,0.03168451564492081,1.1586157504526693,True,True,True
89,0.04676910312842806,0.035715761185852,1.3094807887492146,True,True,True
90,0.04321540211467981,0.03172375828177555,1.3622409340921595,True,True,True
91,0.03521110529996036,0.03399764428206996,1.0356925029223385,True,True,True
92,0.026720917790241678,0.022807058410746678,1.1716073729898806,True,True,True
93,0.049908091963768955,0.0374438411982685,1.3328785286611256,True,True,True
94,0.041454287613680176,0.029071051167271367,1.425964523097467,True,True,True
95,0.043267841321430855,0.03394729326976984,1.2745593876246089,True,True,True
96,0.04591021697894106,0.03278525110300193,1.400331412277558,True,True,True
97,0.04418750839919754,0.02831729287840506,1.5604425390851964,True,False,False
98,0.03360040067660711,0.026046390775167755,1.2900213686666038,True,True,True
99,0.039352581431156386,0.032526568034705515,1.2098596258039762,True,True,True
100,0.03927147358212024,0.02309695218015017,1.700288127879949,True,False,False
101,0.04242976715567623,0.033953994777047955,1.2496251894447978,True,True,True
102,0.02998648409582639,0.029333686116793385,1.0222542089130517,True,True,True
103,0.028857672093330334,0.02585002706313956,1.1163497826460491,True,True,True
104,0.03846067256110476,0.030103696270556323,1.2776063183550714,True,True,True
105,0.04168652784609545,0.035214842212487524,1.183777215145749,True,True,True
106,0.04225547107143608,0.028827752565061943,1.4657913750324048,True,True,True
107,0.04789538838466869,0.03594322658830863,1.332528905466928,True,True,True
108,0.0424656412874934,0.035114916001080854,1.2093334150702877,True,True,True
109,0.04758399914623394,0.03274579900180448,1.4531329390866838,True,True,True
110,0.04336400379990253,0.03105938066139874,1.3961644719399136,True,True,True
111,0.04186678995437258,0.03194313896949011,1.3106661181407646,True,True,True
112,0.03296197044068106,0.025451967908788956,1.2950656923191697,True,True,True
113,0.03637958912299433,0.02943980515976616,1.2357279175445224,True,True,True
114,0.04116427199085952,0.030877518114665648,1.333147043683801,True,True,True
115,0.04184858530990374,0.03261738223970259,1.2830148355365174,True,True,True
116,0.045638604002138025,0.032985073942271244,1.383613815206609,True,True,True
117,0.04179709279103428,0.032342438524331656,1.2923296664718018,True,True,True
118,0.031555540975650886,0.026524996201738562,1.1896529875311574,True,True,True
119,0.039760893330303824,0.02565063523589426,1.55009390467899,True,False,False
120,0.04429077654419597,0.032608828690750026,1.3582449392535128,True,True,True
121,0.035761927521380195,0.02721832349789251,1.3138916334854058,True,True,True
122,0.023677765994651996,0.023156078076264915,1.0225292001810018,True,True,True
123,0.051869123265315266,0.0354141130109867,1.4646455566802885,False,True,False
124,0.054746259614610014,0.03127850693908474,1.7502836603175784,False,False,False
125,0.039982379562359054,0.032437698724600214,1.2325898918358558,True,True,True
126,0.038672280229160916,0.03281299769090174,1.1785659022517108,True,True,True
127,0.02852449894516217,0.024489295964505525,1.1647741522053234,True,True,True
128,0.036184317665597675,0.021474878215162748,1.6849603198237952,True,False,False
129,0.0447072480248991,0.034751252004008866,1.286493160584307,True,True,True
130,0.03822292905151111,0.03126971950948982,1.222362389272827,True,True,True
131,0.05348220513143892,0.031538448873941784,1.6957779168279854,False,False,False
132,0.0420978433124454,0.03170634587074041,1.3277418812015984,True,True,True
133,0.0408207884619105,0.030445891097620213,1.3407651078769456,True,True,True
134,0.0432631974211905,0.036045643699494645,1.2002337309292397,True,True,True
135,0.03757142253761662,0.02979985098458744,1.2607922958087494,True,True,True
136,0.029988812621210968,0.027290835203257095,1.0988601996919418,True,True,True
137,0.03254394143327023,0.02982941899204985,1.0910015190689386,True,True,True
138,0.03741450830894885,0.03382938872970589,1.1059764812154242,True,True,True
139,0.03454405065017819,0.029854113669156686,1.1570951672856675,True,True,True
140,0.04226390622413153,0.026335585170441326,1.6048212314480075,True,False,False
141,0.031663008455830415,0.015752765456094334,2.0099968189128865,True,False,False
142,0.03374647410713599,0.03156390137739366,1.0691477489948535,True,True,True
143,0.058514824892418896,0.029636062015027147,1.9744467015472094,False,False,False
144,0.038589233449402946,0.033677280679043235,1.1458536043088636,True,True,True
145,0.044906838088162704,0.031095657111214012,1.444151442999028,True,True,True
146,0.05357996502268175,0.038888980626137985,1.3777672790597575,False,True,False
147,0.043100936202857605,0.031833123569592406,1.353965032951665,True,True,True
148,0.028150769029515462,0.02439882470580264,1.153775617020623,True,True,True
149,0.04908166674219329,0.033911688456051234,1.4473377462700507,True,True,True
150,0.04676787489386725,0.03126608810518293,1.4958019288033226,True,True,True
