sample_id,null_model,calculated_independent_kappa_rmse
0,branch_kappa_swap,0.15334306381688814
1,branch_kappa_swap,0.14426758068020507
2,branch_kappa_swap,0.14835588773990918
3,branch_kappa_swap,0.14321811362898143
4,branch_kappa_swap,0.14473614042384747
5,branch_kappa_swap,0.140788436386984
6,branch_kappa_swap,0.14923179621831364
7,branch_kappa_swap,0.14800453194372462
8,branch_kappa_swap,0.15941886428193439
9,branch_kappa_swap,0.15079161644698974
10,branch_kappa_swap,0.14942063448641849
11,branch_kappa_swap,0.15451861018010224
12,branch_kappa_swap,0.15523291913401543
13,branch_kappa_swap,0.15246756882736917
14,branch_kappa_swap,0.14549814199170194
15,branch_kappa_swap,0.14427285822010055
16,branch_kappa_swap,0.147642842179547
17,branch_kappa_swap,0.15569746752146987
18,branch_kappa_swap,0.14554727627214725
19,branch_kappa_swap,0.1456271792951297
20,branch_kappa_swap,0.1512115680961298
21,branch_kappa_swap,0.15255840863729941
22,branch_kappa_swap,0.15490487407036369
23,branch_kappa_swap,0.14876314556515693
24,branch_kappa_swap,0.14944163453233972
25,branch_kappa_swap,0.1454592359026781
26,branch_kappa_swap,0.1507758638148526
27,branch_kappa_swap,0.14955005450676062
28,branch_kappa_swap,0.14567402602967786
29,branch_kappa_swap,0.14843075152792737
30,branch_kappa_swap,0.1417744177895398
31,branch_kappa_swap,0.14154661514310699
32,branch_kappa_swap,0.15697108605944476
33,branch_kappa_swap,0.15062368857859995
34,branch_kappa_swap,0.15422414758107103
35,branch_kappa_swap,0.15926090881016475
36,branch_kappa_swap,0.15368161268193722
37,branch_kappa_swap,0.14805808524623465
38,branch_kappa_swap,0.15266704302202125
39,branch_kappa_swap,0.14271188888183714
40,branch_kappa_swap,0.1509483410449638
41,branch_kappa_swap,0.15431410182569347
42,branch_kappa_swap,0.1536565919643949
43,branch_kappa_swap,0.15656611470431753
44,branch_kappa_swap,0.1526796838230831
45,branch_kappa_swap,0.14492119417250485
46,branch_kappa_swap,0.1457817569990584
47,branch_kappa_swap,0.1469680367290119
48,branch_kappa_swap,0.14164100064369667
49,branch_kappa_swap,0.15555362653725058
50,branch_kappa_swap,0.14867669781849888
51,branch_kappa_swap,0.15459836797341076
52,branch_kappa_swap,0.14474090638548914
53,branch_kappa_swap,0.13856458829766757
54,branch_kappa_swap,0.1555950734711466
55,branch_kappa_swap,0.1465743814450208
56,branch_kappa_swap,0.1327908879917067
57,branch_kappa_swap,0.14427103902771948
58,branch_kappa_swap,0.15386694848089488
59,branch_kappa_swap,0.1559628872547661
60,branch_kappa_swap,0.14474587021250457
61,branch_kappa_swap,0.15180981548406905
62,branch_kappa_swap,0.14367666604522233
63,branch_kappa_swap,0.1506367278187497
64,branch_kappa_swap,0.14887314074102054
65,branch_kappa_swap,0.14714184012365722
66,branch_kappa_swap,0.14540283446199015
67,branch_kappa_swap,0.16366100040916737
68,branch_kappa_swap,0.15097253106116584
69,branch_kappa_swap,0.14936286498169787
70,branch_kappa_swap,0.15720416792136832
71,branch_kappa_swap,0.1535385734276384
72,branch_kappa_swap,0.14516918670844564
73,branch_kappa_swap,0.1476907139702246
74,branch_kappa_swap,0.1568783523151576
75,branch_kappa_swap,0.15582954122877773
76,branch_kappa_swap,0.1369734040033026
77,branch_kappa_swap,0.14942206279277215
78,branch_kappa_swap,0.1462060613504075
79,branch_kappa_swap,0.1439601440910418
80,branch_kappa_swap,0.14203304917974013
81,branch_kappa_swap,0.15305673043377443
82,branch_kappa_swap,0.14978590254971388
83,branch_kappa_swap,0.1461448896396259
84,branch_kappa_swap,0.14769720782440723
85,branch_kappa_swap,0.1536022053786859
86,branch_kappa_swap,0.13611227400550635
87,branch_kappa_swap,0.15080159952306485
88,branch_kappa_swap,0.14668863560196466
89,branch_kappa_swap,0.14605821339859365
90,branch_kappa_swap,0.15082726398401178
91,branch_kappa_swap,0.1657219931743397
92,branch_kappa_swap,0.15454200871567014
93,branch_kappa_swap,0.14884772457479425
94,branch_kappa_swap,0.15154701904639914
95,branch_kappa_swap,0.14389220455236454
96,branch_kappa_swap,0.1475121843033228
97,branch_kappa_swap,0.14457149436914318
98,branch_kappa_swap,0.15232570656132002
99,branch_kappa_swap,0.14877382638585224
100,branch_kappa_swap,0.1350916755651974
101,branch_kappa_swap,0.1569851363146745
102,branch_kappa_swap,0.14592438505767757
103,branch_kappa_swap,0.1526685720005654
104,branch_kappa_swap,0.15456547431701195
105,branch_kappa_swap,0.13855985640524568
106,branch_kappa_swap,0.1578277093563998
107,branch_kappa_swap,0.1553911610509055
108,branch_kappa_swap,0.15792698954342035
109,branch_kappa_swap,0.13966512239318696
110,branch_kappa_swap,0.14201878767641238
111,branch_kappa_swap,0.14588126606571436
112,branch_kappa_swap,0.14079125211089202
113,branch_kappa_swap,0.14780121275863095
114,branch_kappa_swap,0.14735628026797223
115,branch_kappa_swap,0.14117377906194467
116,branch_kappa_swap,0.154576963416332
117,branch_kappa_swap,0.14654374719587523
118,branch_kappa_swap,0.141062755412598
119,branch_kappa_swap,0.14687461152661324
120,branch_kappa_swap,0.14501506374342432
121,branch_kappa_swap,0.148234976463937
122,branch_kappa_swap,0.15487655035624726
123,branch_kappa_swap,0.16332267944315906
124,branch_kappa_swap,0.15021124612540238
125,branch_kappa_swap,0.14895018904170118
126,branch_kappa_swap,0.15209491013386667
127,branch_kappa_swap,0.14695708715404743
128,branch_kappa_swap,0.14431158127521415
129,branch_kappa_swap,0.15043875113128694
130,branch_kappa_swap,0.1468805163058537
131,branch_kappa_swap,0.14626472634160437
132,branch_kappa_swap,0.14725293754076446
133,branch_kappa_swap,0.14680201017851985
134,branch_kappa_swap,0.151063680827939
135,branch_kappa_swap,0.1450141655053938
136,branch_kappa_swap,0.1546220245050806
137,branch_kappa_swap,0.1490169608187471
138,branch_kappa_swap,0.1505008748446534
139,branch_kappa_swap,0.15332240265384825
140,branch_kappa_swap,0.13780896307078647
141,branch_kappa_swap,0.14353682532730222
142,branch_kappa_swap,0.14612936941452395
143,branch_kappa_swap,0.14535497683311455
144,branch_kappa_swap,0.14888071033202419
145,branch_kappa_swap,0.1515892693290365
146,branch_kappa_swap,0.15091813309324864
147,branch_kappa_swap,0.13937419547254473
148,branch_kappa_swap,0.15943994202789694
149,branch_kappa_swap,0.1448989469634991
150,branch_kappa_swap,0.15218093243021005
151,branch_kappa_swap,0.14618861406438258
152,branch_kappa_swap,0.1464723733638786
153,branch_kappa_swap,0.14611630507724865
154,branch_kappa_swap,0.1555366386934715
155,branch_kappa_swap,0.14597486320771552
156,branch_kappa_swap,0.15087790509139973
157,branch_kappa_swap,0.14733941041174184
158,branch_kappa_swap,0.1542209194860984
159,branch_kappa_swap,0.15585004677517597
160,branch_kappa_swap,0.1521465807395812
161,branch_kappa_swap,0.1514269107819222
162,branch_kappa_swap,0.15250919919283362
163,branch_kappa_swap,0.14488106231419715
164,branch_kappa_swap,0.15689848413416196
165,branch_kappa_swap,0.1458891196882452
166,branch_kappa_swap,0.14652619511485587
167,branch_kappa_swap,0.14580795268810126
168,branch_kappa_swap,0.15842106384697344
169,branch_kappa_swap,0.14777257763231028
170,branch_kappa_swap,0.15769593883654667
171,branch_kappa_swap,0.15588304318510166
172,branch_kappa_swap,0.15312862769998212
173,branch_kappa_swap,0.15323093311781225
174,branch_kappa_swap,0.15262708090706975
175,branch_kappa_swap,0.14298678219934874
176,branch_kappa_swap,0.15492507717244788
177,branch_kappa_swap,0.1566141016634376
178,branch_kappa_swap,0.14892371265993665
179,branch_kappa_swap,0.14222080103096876
180,branch_kappa_swap,0.1523004907937297
181,branch_kappa_swap,0.15486831320723177
182,branch_kappa_swap,0.14909961172179817
183,branch_kappa_swap,0.1431482514742267
184,branch_kappa_swap,0.15369290974430602
185,branch_kappa_swap,0.14897983206575843
186,branch_kappa_swap,0.15252774334665462
187,branch_kappa_swap,0.15044844329916351
188,branch_kappa_swap,0.14734133817925124
189,branch_kappa_swap,0.1521774266560162
190,branch_kappa_swap,0.15780949089541016
191,branch_kappa_swap,0.14623151400233939
192,branch_kappa_swap,0.1485975418065201
193,branch_kappa_swap,0.15142377704869217
194,branch_kappa_swap,0.15454375831704978
195,branch_kappa_swap,0.14156333182885808
196,branch_kappa_swap,0.14166291948910736
197,branch_kappa_swap,0.1503781015830139
198,branch_kappa_swap,0.14023156033855647
199,branch_kappa_swap,0.1528425997305187
200,branch_kappa_swap,0.14549034937558328
201,branch_kappa_swap,0.15446868180455095
202,branch_kappa_swap,0.14621052778745025
203,branch_kappa_swap,0.14446595778040178
204,branch_kappa_swap,0.1472609591114546
205,branch_kappa_swap,0.1544041272621141
206,branch_kappa_swap,0.15834520093501286
207,branch_kappa_swap,0.15220710736762066
208,branch_kappa_swap,0.14553661273050206
209,branch_kappa_swap,0.14797340145803933
210,branch_kappa_swap,0.14321663785794866
211,branch_kappa_swap,0.14733753616852
212,branch_kappa_swap,0.15976735159819105
213,branch_kappa_swap,0.15562495182979058
214,branch_kappa_swap,0.149317837717215
215,branch_kappa_swap,0.1535901343602378
216,branch_kappa_swap,0.15073059601247588
217,branch_kappa_swap,0.15340327576078017
218,branch_kappa_swap,0.1523719178138368
219,branch_kappa_swap,0.15003371978809005
220,branch_kappa_swap,0.15630197466064488
221,branch_kappa_swap,0.14680280699936313
222,branch_kappa_swap,0.14967359949070513
223,branch_kappa_swap,0.14404530799433757
224,branch_kappa_swap,0.15122815482623034
225,branch_kappa_swap,0.14785719581883897
226,branch_kappa_swap,0.16216329654251044
227,branch_kappa_swap,0.14455884784245718
228,branch_kappa_swap,0.15153198497012557
229,branch_kappa_swap,0.14288392877107836
230,branch_kappa_swap,0.1462849469954126
231,branch_kappa_swap,0.14938659314907438
232,branch_kappa_swap,0.15892148920724813
233,branch_kappa_swap,0.15196543187902659
234,branch_kappa_swap,0.15634770683097687
235,branch_kappa_swap,0.15177851055010994
236,branch_kappa_swap,0.14054557871903817
237,branch_kappa_swap,0.14389542852502624
238,branch_kappa_swap,0.14226387710691907
239,branch_kappa_swap,0.1559285618597964
240,branch_kappa_swap,0.15108240545010843
241,branch_kappa_swap,0.15237454075100387
242,branch_kappa_swap,0.14508729263914483
243,branch_kappa_swap,0.14392750961562337
244,branch_kappa_swap,0.1486551826452566
245,branch_kappa_swap,0.1520429520877827
246,branch_kappa_swap,0.14205545223299176
247,branch_kappa_swap,0.14771454042872695
248,branch_kappa_swap,0.1469298601703262
249,branch_kappa_swap,0.1465681128965043
250,branch_kappa_swap,0.14550173596951005
251,branch_kappa_swap,0.1529889797035787
252,branch_kappa_swap,0.14798732867830908
253,branch_kappa_swap,0.1533648618015673
254,branch_kappa_swap,0.1439422900351786
255,branch_kappa_swap,0.13972722917284158
256,branch_kappa_swap,0.14085763658302144
257,branch_kappa_swap,0.14558590906156188
