sample_id,best_model,thermal_delta_T4_rmse,exp_power_rmse,exp_power2_rmse,thermal_delta_T4_delta_aicc,exp_power_delta_aicc,thermal_delta_T4_beats_exp_power,thermal_delta_T4_beats_exp_power2,thermal_delta_T4_best_model
0,thermal_delta_T4,0.0812108722782722,0.10117934166995214,0.08818881226535887,0.0,13.630419081845105,True,True,True
1,exp_power2,0.0808465410020562,0.09297241919787749,0.08011457046622308,0.5638937957400572,9.228398706239403,True,False,False
2,exp_power2,0.09169012879031836,0.1038815139539288,0.08767224889039876,2.778177198314893,10.518023710364702,True,False,False
3,thermal_delta_T4,0.07812659367349137,0.09224427741919043,0.08070426233303801,0.0,10.298803925320641,True,True,True
4,thermal_delta_T4,0.08910122315599175,0.09864278822279023,0.0892772490609061,0.0,6.307387895293687,True,True,True
5,thermal_delta_T4,0.0808870477102415,0.09306056677621,0.08242039730246534,0.0,8.692203339658931,True,True,True
6,thermal_delta_T4,0.07704697019125821,0.09348809079756783,0.07795562007993241,0.0,11.991966757637499,True,True,True
7,thermal_delta_T4,0.06683219782612941,0.09537000045831306,0.08209204183715924,0.0,22.045904236889953,True,True,True
8,thermal_delta_T4,0.08200360050786971,0.10470608313088536,0.09256787959816294,0.0,15.152431833917888,True,True,True
9,exp_power2,0.0871719359397451,0.09504967419076114,0.08280007238621126,3.190117492338203,8.554183743559292,True,False,False
10,thermal_delta_T4,0.07070317734396875,0.10273285641828873,0.087473806130667,0.0,23.165771687863725,True,True,True
11,exp_power2,0.08952698134060355,0.09262297510130128,0.08163465148602071,5.721745946644944,7.829570783091128,True,False,False
12,exp_power2,0.097247703617235,0.09691338372330141,0.08526961432250575,8.149478356643783,7.935966430101956,False,False,False
13,thermal_delta_T4,0.08448000005387359,0.09624206699650976,0.08888209893833006,0.0,8.081807158318071,True,True,True
14,thermal_delta_T4,0.07891347102176297,0.094969952011762,0.08425598868348305,0.0,11.482933094231441,True,True,True
15,thermal_delta_T4,0.07945033887467685,0.1024200054236338,0.08621328846817083,0.0,15.7448938470271,True,True,True
16,exp_power2,0.08997430241292798,0.10230898025496113,0.08870365830155509,0.8818240664604389,8.847171879260856,True,False,False
17,thermal_delta_T4,0.08442022022015698,0.1026494983271222,0.09167138925577467,0.0,12.121825050065922,True,True,True
18,exp_power2,0.08610351531745808,0.09251949738359289,0.08531462508391947,0.5706693547979853,5.026557641983231,True,False,False
19,thermal_delta_T4,0.08121402059576983,0.10032847280393278,0.08816354697990153,0.0,13.104421146476824,True,True,True
20,thermal_delta_T4,0.07442365097294337,0.08681000303043854,0.07452201315383417,0.0,9.54478074724014,True,True,True
21,thermal_delta_T4,0.08170922478222953,0.09749509055009407,0.08782628214808863,0.0,10.951377283784865,True,True,True
22,exp_power2,0.09284603441056118,0.10233387929259248,0.0912372560713403,1.0837137502523433,7.116203189257618,True,False,False
23,thermal_delta_T4,0.07325620264249372,0.09057524432944841,0.07899654714963224,0.0,13.157516761945175,True,True,True
24,thermal_delta_T4,0.07883808783382508,0.09676535931888405,0.08277110181580316,0.0,12.703356311027676,True,True,True
25,thermal_delta_T4,0.08176048144028833,0.09848884261862778,0.08561968432957508,0.0,11.541253745473796,True,True,True
26,thermal_delta_T4,0.0849807011007669,0.09870312790506044,0.08619682013529185,0.0,9.280932032256146,True,True,True
27,thermal_delta_T4,0.06179798957022192,0.09568856265855133,0.07683855334099712,0.0,27.10813266183237,True,True,True
28,exp_power2,0.08551669840186953,0.08993928134693771,0.07932498284561662,4.6598293934866035,7.786063523564337,True,False,False
29,thermal_delta_T4,0.08229015631953211,0.10037556719206296,0.08809969476848184,0.0,12.317374444372035,True,True,True
30,exp_power2,0.08090284283345332,0.09378069145993913,0.07763517591801468,2.5561571510461363,11.71417859616301,True,False,False
31,thermal_delta_T4,0.08030062845328247,0.10038557964053206,0.08853673998408913,0.0,13.840949478699656,True,True,True
32,exp_power2,0.08047471327933951,0.08787775802150664,0.08034787000618197,0.09780074919606818,5.554031454239606,True,False,False
33,thermal_delta_T4,0.07136171604350226,0.09694862568931352,0.08138224411995698,0.0,18.998019568049557,True,True,True
34,thermal_delta_T4,0.07978756534852312,0.10019715133442168,0.08710050616907525,0.0,14.121869507863352,True,True,True
35,thermal_delta_T4,0.07472525728812825,0.10215895974378482,0.08507598283089218,0.0,19.38813642096852,True,True,True
36,thermal_delta_T4,0.07751373358887771,0.09953560526684291,0.08669688465787234,0.0,15.503738213982984,True,True,True
37,thermal_delta_T4,0.06937147722225379,0.0913369728690796,0.08052263388722476,0.0,17.05495217923024,True,True,True
38,thermal_delta_T4,0.07987839881948657,0.09729930140969532,0.08026505661291027,0.0,12.23175344497244,True,True,True
39,thermal_delta_T4,0.08554277149202313,0.09976916627432271,0.08701020412533275,0.0,9.538246047558488,True,True,True
40,thermal_delta_T4,0.07625173328153946,0.09280275879881583,0.08168089390486727,0.0,12.179045701718053,True,True,True
41,thermal_delta_T4,0.08107564742078821,0.09803258284275221,0.08433223821093873,0.0,11.774870354514121,True,True,True
42,thermal_delta_T4,0.07850524713777926,0.09671172630677712,0.08187107488504287,0.0,12.931290080059284,True,True,True
43,thermal_delta_T4,0.08041799446478813,0.10813903988595512,0.09229548003733307,0.0,18.363150240255464,True,True,True
44,thermal_delta_T4,0.07547672728381848,0.09936481539791801,0.08414072925855755,0.0,17.048370659850633,True,True,True
45,thermal_delta_T4,0.07961435001917842,0.10091286545899829,0.08359769774632221,0.0,14.69791052802563,True,True,True
46,thermal_delta_T4,0.07600810746036821,0.09280180484114142,0.08378826378125695,0.0,12.37681675015395,True,True,True
47,thermal_delta_T4,0.07524922104107307,0.0916399731514608,0.0765598422143879,0.0,12.21784478399664,True,True,True
48,exp_power2,0.09648434500980638,0.10410168776094524,0.09327871618255118,2.094906086762137,6.8061261927235535,True,False,False
49,thermal_delta_T4,0.08741698513260715,0.10337230993454188,0.09190647693380913,0.0,10.394146793327053,True,True,True
50,thermal_delta_T4,0.08254631428386325,0.10491693333464458,0.08679306972139851,0.0,14.868183102779994,True,True,True
51,thermal_delta_T4,0.07416493490972793,0.09009820007627328,0.0814068823180683,0.0,12.06574090815161,True,True,True
52,exp_power2,0.08655476864380261,0.09943221891565789,0.08484512746409963,1.236888365435476,9.83621508244292,True,False,False
53,thermal_delta_T4,0.07730795538843892,0.09430808648943544,0.08718449945650474,0.0,12.32374450781299,True,True,True
