distribution,branch,model,q,density,acceptance,effective_density,weight_zero_photon,weight_one_photon,weight_two_photon,velocity_sigma
raw_one_photon_density,raw,complex_mixture_with_smear,0.0925,0.18150693699132858,1.0,0.18150693699132858,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.095,0.1839192585903263,1.0,0.1839192585903263,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.0975,0.1862990675904538,1.0,0.1862990675904538,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.1,0.18864759243322884,1.0,0.18864759243322884,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.10250000000000001,0.19096598533837653,1.0,0.19096598533837653,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.105,0.19325532876834245,1.0,0.19325532876834245,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.1075,0.19551664120429316,1.0,0.19551664120429316,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.11,0.19775088232117585,1.0,0.19775088232117585,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.1125,0.1999589576365439,1.0,0.1999589576365439,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.115,0.2021417226971174,1.0,0.2021417226971174,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.11750000000000001,0.20429998685805764,1.0,0.20429998685805764,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.12,0.20643451670236793,1.0,0.20643451670236793,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.1225,0.20854603914144454,1.0,0.20854603914144454,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.125,0.21063524423238786,1.0,0.21063524423238786,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.1275,0.2127027877430742,1.0,0.2127027877430742,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.13,0.2147492934920586,1.0,0.2147492934920586,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.1325,0.21677535548700969,1.0,0.21677535548700969,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.135,0.2187815398824845,1.0,0.2187815398824845,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.1375,0.22076838677535765,1.0,0.22076838677535765,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.14,0.22273641185406567,1.0,0.22273641185406567,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.14250000000000002,0.22468610791595697,1.0,0.22468610791595697,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.145,0.22661794626541887,1.0,0.22661794626541887,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.1475,0.2285323780040358,1.0,0.2285323780040358,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.15,0.230429835222801,1.0,0.230429835222801,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.1525,0.23231073210531986,1.0,0.23231073210531986,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.155,0.23417546594999805,1.0,0.23417546594999805,0.06,0.8999999999999999,0.04,0.5
raw_one_photon_density,raw,complex_mixture_with_smear,0.1575,0.23602441811836877,1.0,0.23602441811836877,0.06,0.8999999999999999,0.04,0.5
