analysis_scope,branch,model,n_visibility,n_phase,n_params,objective,rmse_visibility,mae_visibility,rmse_phase_rad,mae_phase_rad,phase_slope_obs_per_pi,phase_slope_pred_per_pi,aicc_joint,bic_joint,amp,floor,phase_offset_rad,recoil_alpha,recoil_beta,acceptance_center,acceptance_width,recoil_mean_q,recoil_std_q,parameters_json
all_phase_points,raw,uniform_recoil_complex,12,21,3,3.2434378957532983,0.02846783471905286,0.022612630196483855,3.675485321048519,3.2150715636439577,1.7760808987326067,2.000000000000001,-43.43195767225445,-39.770021194751564,0.9665942825024858,0.044,3.8298101464700602,,,,,1.0,0.5773511712987166,"{""amp"": 0.9665942825024858, ""floor"": 0.044, ""phase_offset_rad"": 3.8298101464700602, ""recoil_alpha"": NaN, ""recoil_beta"": NaN, ""acceptance_center"": NaN, ""acceptance_width"": NaN, ""recoil_mean_q"": 1.0, ""recoil_std_q"": 0.5773511712987166}"
all_phase_points,raw,beta_recoil_complex,12,21,5,0.6101466794207079,0.0861933506804753,0.06743876593821269,1.4753015761661021,1.3895204787333029,1.7760808987326067,2.089115057633959,-95.88024121145197,-90.6199256263418,0.8897478241990127,0.054,-1.7814478510305491,1.5,1.4,,,1.0344611137635744,0.5060233566965061,"{""amp"": 0.8897478241990127, ""floor"": 0.054, ""phase_offset_rad"": -1.7814478510305491, ""recoil_alpha"": 1.5, ""recoil_beta"": 1.4, ""acceptance_center"": NaN, ""acceptance_width"": NaN, ""recoil_mean_q"": 1.0344611137635744, ""recoil_std_q"": 0.5060233566965061}"
all_phase_points,case_I_forward,accepted_beta_recoil_complex,12,11,5,0.03196876805563904,0.02313196722699937,0.01938769703491447,0.4513914042252051,0.3675589658717652,0.12312805142836634,0.3313630759127559,-122.10260203494951,-119.95454272000964,0.8715808255355868,0.12,-1.0114399140761234,1.5,1.4,0.0,0.54,0.5277327650289775,0.32307184981365916,"{""amp"": 0.8715808255355868, ""floor"": 0.12, ""phase_offset_rad"": -1.0114399140761234, ""recoil_alpha"": 1.5, ""recoil_beta"": 1.4, ""acceptance_center"": 0.0, ""acceptance_width"": 0.54, ""recoil_mean_q"": 0.5277327650289775, ""recoil_std_q"": 0.32307184981365916}"
all_phase_points,case_III_backward,accepted_beta_recoil_complex,12,8,5,0.0729872821173507,0.04930511804462456,0.03784204689880971,0.6931731650138158,0.6124773711811247,3.899296105751435,3.004244516124132,-86.97296677411127,-86.2800196920556,0.8604885370483623,0.038,1.2315281034047734,1.5,1.4,2.0,0.9425,1.2673267847399146,0.4401124537110963,"{""amp"": 0.8604885370483623, ""floor"": 0.038, ""phase_offset_rad"": 1.2315281034047734, ""recoil_alpha"": 1.5, ""recoil_beta"": 1.4, ""acceptance_center"": 2.0, ""acceptance_width"": 0.9425, ""recoil_mean_q"": 1.2673267847399146, ""recoil_std_q"": 0.4401124537110963}"
high_confidence_raw,raw,uniform_recoil_complex,12,16,3,2.0072470675361456,0.02846783471905286,0.022612630196483855,3.3094773401448987,2.9019817557885403,1.7760808987326067,1.9999999999999993,-44.50882598169436,-41.51221245116875,0.9665942825024858,0.044,3.6693526625185675,,,,,1.0,0.5773511712987166,"{""amp"": 0.9665942825024858, ""floor"": 0.044, ""phase_offset_rad"": 3.6693526625185675, ""recoil_alpha"": NaN, ""recoil_beta"": NaN, ""acceptance_center"": NaN, ""acceptance_width"": NaN, ""recoil_mean_q"": 1.0, ""recoil_std_q"": 0.5773511712987166}"
high_confidence_raw,raw,beta_recoil_complex,12,16,5,0.5210769630030468,0.059170150886407154,0.045727694523307334,1.620728406817644,1.537639477895326,1.7760808987326067,2.1113293303498315,-77.73828972294422,-73.80453989934094,0.9371564553157602,0.044,1.0129137019743217,1.3,1.2,,,1.0399496463198719,0.5339748807058845,"{""amp"": 0.9371564553157602, ""floor"": 0.044, ""phase_offset_rad"": 1.0129137019743217, ""recoil_alpha"": 1.3, ""recoil_beta"": 1.2, ""acceptance_center"": NaN, ""acceptance_width"": NaN, ""recoil_mean_q"": 1.0399496463198719, ""recoil_std_q"": 0.5339748807058845}"
high_confidence_raw,case_I_forward,accepted_beta_recoil_complex,12,11,5,0.022345405373715523,0.024506334964583373,0.01996993591505625,0.347473166865194,0.2718767039126913,0.12312805142836634,0.28086430150735703,-132.13846271742477,-129.9904034024849,0.8922774922246623,0.10400000000000001,-0.811043805732316,1.3,1.2,0.0,0.54,0.49634305640146725,0.32665371647312624,"{""amp"": 0.8922774922246623, ""floor"": 0.10400000000000001, ""phase_offset_rad"": -0.811043805732316, ""recoil_alpha"": 1.3, ""recoil_beta"": 1.2, ""acceptance_center"": 0.0, ""acceptance_width"": 0.54, ""recoil_mean_q"": 0.49634305640146725, ""recoil_std_q"": 0.32665371647312624}"
high_confidence_raw,case_III_backward,accepted_beta_recoil_complex,12,8,5,0.05723685162602954,0.04465445308641354,0.03408160687970288,0.6043755257630123,0.5335347979562484,3.899296105751435,3.1497933062685917,-92.09543001502534,-91.40248293296968,0.8907529126827681,0.024,1.1074501988563732,1.3,1.2,2.0,0.9425,1.2948351694231186,0.4571518245881778,"{""amp"": 0.8907529126827681, ""floor"": 0.024, ""phase_offset_rad"": 1.1074501988563732, ""recoil_alpha"": 1.3, ""recoil_beta"": 1.2, ""acceptance_center"": 2.0, ""acceptance_width"": 0.9425, ""recoil_mean_q"": 1.2948351694231186, ""recoil_std_q"": 0.4571518245881778}"
