analysis_scope,distribution,branch,q,density,acceptance,effective_density
all_phase_points,raw_beta_recoil_complex,raw,0.1375,0.29613227521602964,1.0,0.29613227521602964
all_phase_points,raw_beta_recoil_complex,raw,0.14,0.2986517591698873,1.0,0.2986517591698873
all_phase_points,raw_beta_recoil_complex,raw,0.14250000000000002,0.30114443557675385,1.0,0.30114443557675385
all_phase_points,raw_beta_recoil_complex,raw,0.145,0.30361096236972523,1.0,0.30361096236972523
all_phase_points,raw_beta_recoil_complex,raw,0.1475,0.306051969450581,1.0,0.306051969450581
all_phase_points,raw_beta_recoil_complex,raw,0.15,0.30846806033830326,1.0,0.30846806033830326
all_phase_points,raw_beta_recoil_complex,raw,0.1525,0.31085981369475457,1.0,0.31085981369475457
all_phase_points,raw_beta_recoil_complex,raw,0.155,0.3132277847385294,1.0,0.3132277847385294
all_phase_points,raw_beta_recoil_complex,raw,0.1575,0.3155725065568458,1.0,0.3155725065568458
all_phase_points,raw_beta_recoil_complex,raw,0.16,0.31789449132433023,1.0,0.31789449132433023
all_phase_points,raw_beta_recoil_complex,raw,0.1625,0.320194231436653,1.0,0.320194231436653
all_phase_points,raw_beta_recoil_complex,raw,0.165,0.3224722005661822,1.0,0.3224722005661822
all_phase_points,raw_beta_recoil_complex,raw,0.1675,0.32472885464611817,1.0,0.32472885464611817
all_phase_points,raw_beta_recoil_complex,raw,0.17,0.3269646327889489,1.0,0.3269646327889489
all_phase_points,raw_beta_recoil_complex,raw,0.17250000000000001,0.32917995814451145,1.0,0.32917995814451145
all_phase_points,raw_beta_recoil_complex,raw,0.17500000000000002,0.33137523870244634,1.0,0.33137523870244634
all_phase_points,raw_beta_recoil_complex,raw,0.1775,0.3335508680433921,1.0,0.3335508680433921
all_phase_points,raw_beta_recoil_complex,raw,0.18,0.33570722604287007,1.0,0.33570722604287007
all_phase_points,raw_beta_recoil_complex,raw,0.1825,0.3378446795314531,1.0,0.3378446795314531
all_phase_points,raw_beta_recoil_complex,raw,0.185,0.3399635829144971,1.0,0.3399635829144971
all_phase_points,raw_beta_recoil_complex,raw,0.1875,0.34206427875442325,1.0,0.34206427875442325
all_phase_points,raw_beta_recoil_complex,raw,0.19,0.3441470983182832,1.0,0.3441470983182832
all_phase_points,raw_beta_recoil_complex,raw,0.1925,0.3462123620931075,1.0,0.3462123620931075
all_phase_points,raw_beta_recoil_complex,raw,0.195,0.34826038027132594,1.0,0.34826038027132594
all_phase_points,raw_beta_recoil_complex,raw,0.1975,0.35029145320835964,1.0,0.35029145320835964
all_phase_points,raw_beta_recoil_complex,raw,0.2,0.35230587185431134,1.0,0.35230587185431134
all_phase_points,raw_beta_recoil_complex,raw,0.2025,0.3543039181615274,1.0,0.3543039181615274
all_phase_points,raw_beta_recoil_complex,raw,0.20500000000000002,0.3562858654696594,1.0,0.3562858654696594
all_phase_points,raw_beta_recoil_complex,raw,0.20750000000000002,0.3582519788697273,1.0,0.3582519788697273
all_phase_points,raw_beta_recoil_complex,raw,0.21,0.3602025155485706,1.0,0.3602025155485706
all_phase_points,raw_beta_recoil_complex,raw,0.2125,0.3621377251149609,1.0,0.3621377251149609
all_phase_points,raw_beta_recoil_complex,raw,0.215,0.3640578499085612,1.0,0.3640578499085612
all_phase_points,raw_beta_recoil_complex,raw,0.2175,0.36596312529281905,1.0,0.36596312529281905
all_phase_points,raw_beta_recoil_complex,raw,0.22,0.367853779932807,1.0,0.367853779932807
all_phase_points,raw_beta_recoil_complex,raw,0.2225,0.3697300360589453,1.0,0.3697300360589453
all_phase_points,raw_beta_recoil_complex,raw,0.225,0.3715921097174742,1.0,0.3715921097174742
all_phase_points,raw_beta_recoil_complex,raw,0.2275,0.3734402110084828,1.0,0.3734402110084828
all_phase_points,raw_beta_recoil_complex,raw,0.23,0.37527454431224166,1.0,0.37527454431224166
all_phase_points,raw_beta_recoil_complex,raw,0.2325,0.3770953085045354,1.0,0.3770953085045354
all_phase_points,raw_beta_recoil_complex,raw,0.23500000000000001,0.37890269716164177,1.0,0.37890269716164177
all_phase_points,raw_beta_recoil_complex,raw,0.23750000000000002,0.3806968987555613,1.0,0.3806968987555613
all_phase_points,raw_beta_recoil_complex,raw,0.24,0.3824780968400571,1.0,0.3824780968400571
all_phase_points,raw_beta_recoil_complex,raw,0.2425,0.38424647022803105,1.0,0.38424647022803105
all_phase_points,raw_beta_recoil_complex,raw,0.245,0.38600219316072226,1.0,0.38600219316072226
all_phase_points,raw_beta_recoil_complex,raw,0.2475,0.3877454354691874,1.0,0.3877454354691874
all_phase_points,raw_beta_recoil_complex,raw,0.25,0.38947636272848657,1.0,0.38947636272848657
all_phase_points,raw_beta_recoil_complex,raw,0.2525,0.3911951364049768,1.0,0.3911951364049768
all_phase_points,raw_beta_recoil_complex,raw,0.255,0.3929019139970837,1.0,0.3929019139970837
all_phase_points,raw_beta_recoil_complex,raw,0.2575,0.39459684916990356,1.0,0.39459684916990356
all_phase_points,raw_beta_recoil_complex,raw,0.26,0.3962800918839616,1.0,0.3962800918839616
all_phase_points,raw_beta_recoil_complex,raw,0.2625,0.3979517885184358,1.0,0.3979517885184358
all_phase_points,raw_beta_recoil_complex,raw,0.265,0.3996120819891329,1.0,0.3996120819891329
all_phase_points,raw_beta_recoil_complex,raw,0.2675,0.4012611118614888,1.0,0.4012611118614888
all_phase_points,raw_beta_recoil_complex,raw,0.27,0.4028990144588469,1.0,0.4028990144588469
all_phase_points,raw_beta_recoil_complex,raw,0.2725,0.40452592296625434,1.0,0.40452592296625434
all_phase_points,raw_beta_recoil_complex,raw,0.275,0.40614196753000054,1.0,0.40614196753000054
all_phase_points,raw_beta_recoil_complex,raw,0.2775,0.40774727535310984,1.0,0.40774727535310984
all_phase_points,raw_beta_recoil_complex,raw,0.28,0.4093419707869883,1.0,0.4093419707869883
all_phase_points,raw_beta_recoil_complex,raw,0.28250000000000003,0.41092617541941195,1.0,0.41092617541941195
all_phase_points,raw_beta_recoil_complex,raw,0.28500000000000003,0.4125000081590334,1.0,0.4125000081590334
all_phase_points,raw_beta_recoil_complex,raw,0.28750000000000003,0.4140635853165751,1.0,0.4140635853165751
