sample_id,raw_rmse_exponential,raw_rmse_gaussian_kernel,raw_rmse_sinc_fourier,raw_sinc_minus_exp_rmse,raw_sinc_beats_exp,raw_sinc_width,raw_sinc_first_zero,case_I_sinc_width,case_III_sinc_width,conditioned_widths_narrower_than_raw,peak_recoverable_loss_x,peak_recoverable_loss,peak_recovery_fraction_x,peak_recovery_fraction,raw_zero_to_peak_loss_distance,recovery_window_aligns_with_raw_zero
0,0.07583859969507198,0.07583860682579767,0.04385657934027063,-0.03198202035480135,True,1.9262500000000002,0.5191434133679428,0.9146111111111113,2.839138888888889,False,0.5,0.6094679850564533,0.4,0.7387222030471972,0.019143413367942785,True
1,0.079627975541784,0.07962800848565633,0.03542238624336401,-0.04420558929841999,True,1.96575,0.5087116876510237,0.8751111111111112,1.3842222222222225,True,0.5,0.7406939765659315,0.0,1.0,0.008711687651023703,True
2,0.08957497458841293,0.08957497352658891,0.0390410398522396,-0.05053393473617333,True,1.9855000000000003,0.503651473180559,0.9190000000000002,1.476388888888889,True,0.5,0.6061654505166432,0.4,0.7807184512721838,0.0036514731805590284,True
3,0.08719876025398597,0.08719879159552564,0.05291770276942574,-0.03428105748456023,True,2.04475,0.4890573419733464,0.8904722222222223,1.3513055555555558,True,0.4,0.6146265387182307,0.0,1.0,0.08905734197334636,True
4,0.08006859860416497,0.08006859768582218,0.029728134202862973,-0.050340464401302,True,1.96575,0.5087116876510237,0.9277777777777779,1.3644722222222223,True,0.5,0.5687608081504979,0.4,0.6547494021535718,0.008711687651023703,True
5,0.08673758615233644,0.08673758789302716,0.048900398093208376,-0.037837188059128064,True,1.954777777777778,0.5115671005513556,0.9058333333333335,1.5202777777777778,True,0.5,0.6275383003333325,0.0,1.0,0.01156710055135557,True
6,0.09200530374062546,0.09200529053238311,0.036270771440372114,-0.055734532300253346,True,1.9986666666666668,0.5003335557038024,0.9365555555555557,2.869861111111111,False,0.5,0.7136588596284184,0.4,0.7496607374480265,0.00033355570380244615,True
7,0.08525995138274889,0.08525996487819133,0.03294129035587143,-0.05231866102687746,True,1.9679444444444447,0.5081444259379498,0.9058333333333335,1.4829722222222224,True,0.5,0.7063766737197351,0.2,0.7727224120844383,0.00814442593794984,True
8,0.08288924933982937,0.08288920159175728,0.0334857891194441,-0.04940346022038527,True,1.9789166666666669,0.5053269886722532,0.9475277777777779,1.4325,True,0.5,0.6103908903413443,0.4,0.7168848433762153,0.00532698867225323,True
9,0.07575885120983597,0.07575886652513886,0.026148556994113146,-0.04961029421572283,True,2.0228055555555557,0.49436288982573706,0.7675833333333334,1.5093055555555557,True,0.4,0.5985083008375034,0.4,0.7910867320880837,0.09436288982573704,True
10,0.07254675257672281,0.07254674933454232,0.03615191916555451,-0.0363948334111683,True,2.0381666666666667,0.49063701038515006,0.8882777777777778,1.564166666666667,True,0.4,0.5941755561624763,0.4,0.7376342992444964,0.09063701038515004,True
11,0.0796430890936929,0.07964308878543597,0.044480544785183505,-0.035162544308509396,True,1.9240555555555559,0.5197355123725925,1.081388888888889,1.5136944444444447,True,0.5,0.5762174300180807,0.0,1.0,0.019735512372592523,True
12,0.0748683466256432,0.07486836109514902,0.03113866528514104,-0.04372968134050217,True,1.9438055555555558,0.5144547494176658,0.8860833333333334,3.0805277777777778,False,0.5,0.6260654694964891,0.0,1.0,0.01445474941766578,True
13,0.08795713678307537,0.0879571502270628,0.053143482655620834,-0.03481365412745454,True,1.9613611111111113,0.5098500191193757,0.9058333333333335,2.8566944444444444,False,0.5,0.6339199155756512,0.4,0.6786603163924795,0.009850019119375664,True
14,0.07543229305113068,0.07543227537473539,0.04011582606041565,-0.03531646699071503,True,1.9679444444444447,0.5081444259379498,0.943138888888889,1.3842222222222225,True,0.5,0.6560299949547225,0.0,1.0,0.00814442593794984,True
15,0.08081571254100121,0.08081573094000653,0.04148506193952903,-0.039330650601472186,True,1.9723333333333335,0.5070136893696129,0.7588055555555556,2.8303611111111113,False,0.5,0.6166378587682109,0.4,0.6688958024259702,0.0070136893696128855,True
16,0.085092081343956,0.08509208538382,0.03610953012912962,-0.048982551214826385,True,2.018416666666667,0.49543784319392253,0.9124166666666668,1.461027777777778,True,0.5,0.6326212296576174,0.5,0.6651710832898797,0.004562156806077466,True
17,0.09315462523287063,0.09315466043936528,0.04585345467149829,-0.04730117056137234,True,1.930638888888889,0.5179632533847459,0.8904722222222223,1.5334444444444446,True,0.5,0.6468416929873249,0.0,1.0,0.017963253384745914,True
18,0.0755411580936378,0.0755411578731381,0.039116310483795456,-0.03642484760984235,True,1.9503888888888892,0.5127182613154071,0.8729166666666668,1.4829722222222224,True,0.5,0.6202745260900124,0.0,1.0,0.012718261315407098,True
19,0.08953218315315258,0.08953215896310833,0.04756658851122241,-0.041965594641930164,True,1.9525833333333336,0.5121420340574452,0.8619444444444445,1.875777777777778,True,0.5,0.595963585455491,0.4,0.71126806035472,0.012142034057445183,True
20,0.0706222054919085,0.07062227724393855,0.031818882677202016,-0.03880332281470648,True,1.9284444444444446,0.5185526619036643,0.9343611111111112,3.183666666666667,False,0.5,0.6062927774099309,0.4,0.7056644966922145,0.018552661903664336,True
21,0.07281181267778591,0.07281184963429345,0.0416997670160998,-0.031112045661686114,True,1.9613611111111113,0.5098500191193757,0.9343611111111112,1.4193333333333336,True,0.5,0.5883261781477235,0.4,0.7182871328923213,0.009850019119375664,True
22,0.07187863438815008,0.07187865409762091,0.03260949894318534,-0.039269135444964735,True,1.9569722222222223,0.5109934564449049,0.8707222222222223,1.3491111111111111,True,0.5,0.661060849647814,0.5,0.6731754252209636,0.010993456444904903,True
23,0.07320109066636037,0.07320114204973105,0.03202805138969827,-0.0411730392766621,True,1.9240555555555559,0.5197355123725925,0.9058333333333335,1.3930000000000002,True,0.5,0.5360447131589768,0.0,1.0,0.019735512372592523,True
