kappa_se_scale,n_bootstrap,rmse_median,rmse_p95,ratio_median,p_rmse_lt_005,p_ratio_lte_15,p_joint_gate
0.0,600,0.02398311074013498,0.02398311074013498,1.2413588440106615,1.0,1.0,1.0
0.25,600,0.024445713607003004,0.028129935382076608,1.265303033998089,1.0,0.975,0.975
0.5,600,0.025256971691650608,0.03332673571276535,1.3072935167617437,1.0,0.7833333333333333,0.7833333333333333
0.75,600,0.027618699825014213,0.04080108765533633,1.4295358787833439,0.9966666666666667,0.5666666666666667,0.5666666666666667
1.0,600,0.030720043574640123,0.04870938573000598,1.590060530219517,0.9583333333333334,0.4166666666666667,0.4166666666666667
1.25,600,0.03167277966248841,0.054510306597096,1.6393738733247296,0.9016666666666666,0.3933333333333333,0.3933333333333333
1.5,600,0.037255862442976656,0.0649214598002991,1.928352615969843,0.7533333333333333,0.2683333333333333,0.2683333333333333
