scale,sample_id,calculated_independent_kappa_rmse,rmse_ratio_to_refit,passes_absolute_rmse_lt_005,passes_refit_ratio_lte_15,passes_joint_gate
0.0,0,0.02398311074013498,1.2413588440106615,True,True,True
0.0,1,0.02398311074013498,1.2413588440106615,True,True,True
0.0,2,0.02398311074013498,1.2413588440106615,True,True,True
0.0,3,0.02398311074013498,1.2413588440106615,True,True,True
0.0,4,0.02398311074013498,1.2413588440106615,True,True,True
0.0,5,0.02398311074013498,1.2413588440106615,True,True,True
0.0,6,0.02398311074013498,1.2413588440106615,True,True,True
0.0,7,0.02398311074013498,1.2413588440106615,True,True,True
0.0,8,0.02398311074013498,1.2413588440106615,True,True,True
0.0,9,0.02398311074013498,1.2413588440106615,True,True,True
0.0,10,0.02398311074013498,1.2413588440106615,True,True,True
0.0,11,0.02398311074013498,1.2413588440106615,True,True,True
0.0,12,0.02398311074013498,1.2413588440106615,True,True,True
0.0,13,0.02398311074013498,1.2413588440106615,True,True,True
0.0,14,0.02398311074013498,1.2413588440106615,True,True,True
0.0,15,0.02398311074013498,1.2413588440106615,True,True,True
0.0,16,0.02398311074013498,1.2413588440106615,True,True,True
0.0,17,0.02398311074013498,1.2413588440106615,True,True,True
0.0,18,0.02398311074013498,1.2413588440106615,True,True,True
0.0,19,0.02398311074013498,1.2413588440106615,True,True,True
0.0,20,0.02398311074013498,1.2413588440106615,True,True,True
0.0,21,0.02398311074013498,1.2413588440106615,True,True,True
0.0,22,0.02398311074013498,1.2413588440106615,True,True,True
0.0,23,0.02398311074013498,1.2413588440106615,True,True,True
0.0,24,0.02398311074013498,1.2413588440106615,True,True,True
0.0,25,0.02398311074013498,1.2413588440106615,True,True,True
0.0,26,0.02398311074013498,1.2413588440106615,True,True,True
0.0,27,0.02398311074013498,1.2413588440106615,True,True,True
0.0,28,0.02398311074013498,1.2413588440106615,True,True,True
0.0,29,0.02398311074013498,1.2413588440106615,True,True,True
0.0,30,0.02398311074013498,1.2413588440106615,True,True,True
0.0,31,0.02398311074013498,1.2413588440106615,True,True,True
0.0,32,0.02398311074013498,1.2413588440106615,True,True,True
0.0,33,0.02398311074013498,1.2413588440106615,True,True,True
0.0,34,0.02398311074013498,1.2413588440106615,True,True,True
0.0,35,0.02398311074013498,1.2413588440106615,True,True,True
0.0,36,0.02398311074013498,1.2413588440106615,True,True,True
